"Rank","Time","Wind","Name","Country","Birthdate","City","Date"
210,10.88,"+0.8","Gail Devers","USA","19.11.66","Berlin","26.08.1997"
210,10.88,"0.0","Marion Jones","USA","12.10.75","Paris","29.07.1998"
210,10.88,"-1.0","Marion Jones","USA","12.10.75","Sacramento","15.07.2000"
210,10.88,"-0.1","Chryste Gaines","USA","14.09.70","Bruxelles","05.09.2003"
210,10.88,"+0.4","Lauryn Williams","USA","11.09.83","Z&uuml;rich","19.08.2005"
210,10.88,"+1.2","Veronica Campbell-Brown","JAM","16.05.82","Clermont","14.06.2008"
210,10.88,"+0.7","Veronica Campbell-Brown","JAM","16.05.82","Kingston","28.06.2008"
210,10.88,"-1.5","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Kingston","27.06.2009"
210,10.88,"+0.5","Carmelita Jeter","USA","24.11.79","Bruxelles","04.09.2009"
210,10.88,"+1.7","Carmelita Jeter","USA","24.11.79","Eugene","23.06.2011"
210,10.88,"+1.2","Michelle-Lee Ahye","TTO","10.04.92","Port of Spain","21.06.2014"
210,10.88,"+0.5","Tori Bowie","USA","27.08.90","Beijing","23.08.2015"
210,10.88,"+0.3","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Rio de Janeiro","13.08.2016"
210,10.88,"+0.6","Elaine Thompson","JAM","28.06.92","Rio de Janeiro","13.08.2016"
231,10.89,"+0.7","Marlies G&ouml;hr","GDR","21.03.58","Erfurt","01.06.1984"
231,10.89,"-0.1","Florence Griffith-Joyner","USA","21.12.59","San Diego","25.06.1988"
231,10.89,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Neubrandenburg","09.07.1988"
231,10.89,"+1.8","Katrin Krabbe","GER","22.11.69","Berlin","20.07.1988"
231,10.89,"+1.8","Katrin Krabbe","GER","22.11.69","Split","28.08.1990"
231,10.89,"-0.1","Merlene Ottey","JAM","10.05.60","Tokyo","26.08.1991"
231,10.89,"+1.6","Juliet Cuthbert","JAM","09.04.64","Salamanca","13.07.1992"
231,10.89,"+1.9","Irina Privalova","RUS","12.11.68","Moskva","18.07.1992"
231,10.89,"+0.6","Merlene Ottey","JAM","10.05.60","Bruxelles","28.08.1992"
231,10.89,"-0.3","Gwen Torrence","USA","12.06.65","Stuttgart","16.08.1993"
231,10.89,"+0.4","Gwen Torrence","USA","12.06.65","Linz","04.07.1994"
231,10.89,"-0.1","Gail Devers","USA","19.11.66","Berlin","30.08.1996"
231,10.89,"+0.5","Gail Devers","USA","19.11.66","Lausanne","02.07.1997"
231,10.89,"0.0","Liu Xiaomei","CHN","11.01.72","Shanghai","18.10.1997"
231,10.89,"+2.0","Chryste Gaines","USA","14.09.70","New Orleans","20.06.1998"
231,10.89,"0.0","Chandra Sturrup","BAH","12.09.71","Roma","11.07.2003"
231,10.89,"-0.1","Chryste Gaines","USA","14.09.70","Z&uuml;rich","15.08.2003"
231,10.89,"-0.2","Sherone Simpson","JAM","12.08.84","Stuttgart","10.09.2006"
231,10.89,"+1.0","Veronica Campbell-Brown","JAM","16.05.82","Kingston","23.06.2007"
231,10.89,"-0.1","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Thessalon&iacute;ki","13.09.2009"
231,10.89,"+1.2","Veronica Campbell-Brown","JAM","16.05.82","Shanghai","20.09.2009"
231,10.89,"0.0","Veronica Campbell-Brown","JAM","16.05.82","Z&uuml;rich","19.08.2010"
231,10.89,"0.0","Carmelita Jeter","USA","24.11.79","Z&uuml;rich","19.08.2010"
231,10.89,"0.0","Veronica Campbell-Brown","JAM","16.05.82","London","04.08.2012"
231,10.89,"+1.5","Allyson Felix","USA","18.11.85","London","04.08.2012"
231,10.89,"+0.5","Blessing Okagbare","NGR","10.09.88","Beijing","24.08.2015"
231,10.89,"-0.2","Veronica Campbell-Brown","JAM","16.05.82","Beijing","24.08.2015"
258,10.9,"+0.6","Evelyn Ashford","USA","15.04.57","Colorado Springs","22.07.1981"
258,10.9,"+1.1","Marlies G&ouml;hr","GDR","21.03.58","Karl-Marx-Stadt","16.06.1983"
258,10.9,"+1.4","Anelia Nuneva","BUL","30.06.62","Dr&aacute;ma","08.08.1987"
258,10.9,"-0.4","Anelia Nuneva","BUL","30.06.62","Sofia","15.08.1987"
258,10.9,"-0.5","Silke M&ouml;ller","GER","20.06.64","Roma","30.08.1987"
258,10.9,"-0.6","Merlene Ottey","JAM","10.05.60","Monaco","07.08.1993"
258,10.9,"+1.9","Irina Privalova","RUS","12.11.68","Stockholm","12.07.1994"
258,10.9,"+1.4","Irina Privalova","RUS","12.11.68","G&ouml;teborg","07.08.1995"
258,10.9,"+0.5","Marion Jones","USA","12.10.75","Lausanne","02.07.1997"
258,10.9,"+0.7","Zhanna Block","UKR","06.07.72","Ath&iacute;nai","02.08.1997"
258,10.9,"+0.6","Li Xuemei","CHN","05.01.77","Shanghai","17.10.1997"
258,10.9,"-0.8","Marion Jones","USA","12.10.75","Uniondale","19.07.1998"
258,10.9,"+1.4","Glory Alozie","NGR","30.12.77","La Laguna","05.06.1999"
258,10.9,"+1.0","Zhanna Block","UKR","06.07.72","Bruxelles","30.08.2002"
258,10.9,"+2.0","Torri Edwards","USA","31.01.77","Carson","20.05.2007"
258,10.9,"-0.7","Veronica Campbell-Brown","JAM","16.05.82","Shanghai","28.09.2007"
258,10.9,"+1.0","Torri Edwards","USA","31.01.77","Eugene","28.06.2008"
258,10.9,"+1.0","Lauryn Williams","USA","11.09.83","Eugene","28.06.2008"
258,10.9,"+0.1","Carmelita Jeter","USA","24.11.79","Berlin","17.08.2009"
258,10.9,"-0.1","Kerron Stewart","JAM","16.04.84","Thessalon&iacute;ki","13.09.2009"
258,10.9,"+1.8","Shalonda Solomon","USA","19.12.85","Clermont","05.06.2010"
258,10.9,"-1.4","Carmelita Jeter","USA","24.11.79","Daegu","29.08.2011"
258,10.9,"+0.4","Kelly-Ann Baptiste","TTO","14.10.86","Bruxelles","16.09.2011"
258,10.9,"+0.7","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Birmingham","26.08.2012"
258,10.9,"+1.7","Octavious Freeman","USA","20.04.92","Des Moines","21.06.2013"
258,10.9,"+0.1","Barbara Pierre","USA","28.04.87","London","27.07.2013"
258,10.9,"+1.0","Elaine Thompson","JAM","28.06.92","Madrid","11.07.2015"
258,10.9,"+0.9","Kelly-Ann Baptiste","TTO","14.10.86","Beijing","24.08.2015"
258,10.9,"+1.8","English Gardner","USA","22.04.92","Eugene","02.07.2016"
258,10.9,"-0.2","Dafne Schippers","NED","15.06.92","Amsterdam","08.07.2016"
258,10.9,"+1.0","Tori Bowie","USA","27.08.90","Rio de Janeiro","13.08.2016"
258,10.9,"+1.0","Michelle-Lee Ahye","TTO","10.04.92","Rio de Janeiro","13.08.2016"
258,10.9,"+0.3","Dafne Schippers","NED","15.06.92","Rio de Janeiro","13.08.2016"
258,10.9,"+0.6","English Gardner","USA","22.04.92","Rio de Janeiro","13.08.2016"
258,10.9,"+0.5","Dafne Schippers","NED","15.06.92","Rio de Janeiro","13.08.2016"
293,10.91,"+1.0","Marlies G&ouml;hr","GDR","21.03.58","Dresden","01.07.1982"
293,10.91,"+0.6","Marlies G&ouml;hr","GDR","21.03.58","Berlin","31.07.1983"
293,10.91,"-0.5","Marlies G&ouml;hr","GDR","21.03.58","Berlin","20.07.1984"
293,10.91,"+0.2","Evelyn Ashford","USA","15.04.57","Moskva","06.07.1986"
293,10.91,"+0.2","Heike Drechsler","GER","16.12.64","Moskva","06.07.1986"
293,10.91,"+0.8","Marlies G&ouml;hr","GDR","21.03.58","Stuttgart","27.08.1986"
293,10.91,"+0.2","Anelia Nuneva","BUL","30.06.62","Stara Zagora","01.08.1987"
293,10.91,"+1.7","Heike Drechsler","GER","16.12.64","Oslo","02.07.1988"
293,10.91,"+1.2","Gwen Torrence","USA","12.06.65","Indianapolis","17.07.1988"
293,10.91,"+1.4","Florence Griffith-Joyner","USA","21.12.59","Tokyo","07.10.1988"
293,10.91,"+1.6","Dawn Sowell","USA","27.03.66","Houston","16.06.1989"
293,10.91,"+0.7","Merlene Ottey","JAM","10.05.60","Duisburg","12.06.1991"
