"Rank","Time","Wind","Name","Country","Birthdate","City","Date"
69,9.84,1.8,"Asafa Powell","JAM","23.11.82","Kingston","07.05.2005"
69,9.84,1,"Tyson Gay","USA","09.08.82","Z&uuml;rich","18.08.2006"
69,9.84,-0.5,"Tyson Gay","USA","09.08.82","Indianapolis","22.06.2007"
69,9.84,-0.3,"Asafa Powell","JAM","23.11.82","Bruxelles","14.09.2007"
69,9.84,0.9,"Asafa Powell","JAM","23.11.82","Berlin","16.08.2009"
69,9.84,-0.3,"Usain Bolt","JAM","21.08.86","Saint-Denis","16.07.2010"
69,9.84,0,"Tyson Gay","USA","09.08.82","Stockholm","06.08.2010"
69,9.84,0.5,"Yohan Blake","JAM","26.12.89","George Town","09.05.2012"
69,9.84,1.8,"Asafa Powell","JAM","23.11.82","Kingston","09.05.2015"
69,9.84,1.3,"Trayvon Bromell","USA","10.07.95","Eugene","25.06.2015"
69,9.84,0.9,"Asafa Powell","JAM","23.11.82","Kingston","26.06.2015"
69,9.84,1.6,"Trayvon Bromell","USA","10.07.95","Eugene","03.07.2016"
83,9.85,1.2,"Leroy Burrell","USA","21.02.67","Lausanne","06.07.1994"
83,9.85,0.8,"Maurice Greene","USA","23.07.74","Roma","07.07.1999"
83,9.85,0.6,"Justin Gatlin","USA","10.02.82","Ath&iacute;nai","22.08.2004"
83,9.85,0.6,"Asafa Powell","JAM","23.11.82","Ostrava","09.06.2005"
83,9.85,1.7,"Adekotunbo Olusoji Fasuba","NGR","09.07.84","Ad-Dawhah","12.05.2006"
83,9.85,0.1,"Asafa Powell","JAM","23.11.82","Saint-Denis","08.07.2006"
83,9.85,0.5,"Asafa Powell","JAM","23.11.82","Roma","14.07.2006"
83,9.85,-0.5,"Tyson Gay","USA","09.08.82","Osaka","26.08.2007"
83,9.85,1.7,"Tyson Gay","USA","09.08.82","New York City","31.05.2008"
83,9.85,-0.1,"Usain Bolt","JAM","21.08.86","Kingston","28.06.2008"
83,9.85,-0.1,"Usain Bolt","JAM","21.08.86","Beijing","16.08.2008"
83,9.85,2,"Asafa Powell","JAM","23.11.82","Shanghai","20.09.2009"
83,9.85,0.1,"Nesta Carter","JAM","10.11.85","Bruxelles","27.08.2010"
83,9.85,1.3,"Mike Rodgers","USA","24.04.85","Eugene","04.06.2011"
83,9.85,1,"Richard Thompson","TTO","07.06.85","Port of Spain","13.08.2011"
83,9.85,0.1,"Usain Bolt","JAM","21.08.86","Zagreb","13.09.2011"
83,9.85,0.6,"Asafa Powell","JAM","23.11.82","Oslo","07.06.2012"
83,9.85,1.6,"Yohan Blake","JAM","26.12.89","Luzern","17.07.2012"
83,9.85,1.7,"Yohan Blake","JAM","26.12.89","London","05.08.2012"
83,9.85,0.2,"Usain Bolt","JAM","21.08.86","London","26.07.2013"
83,9.85,-0.3,"Justin Gatlin","USA","10.02.82","Moskva","11.08.2013"
104,9.86,1.2,"Carl Lewis","USA","01.07.61","Tokyo","25.08.1991"
104,9.86,-0.4,"Frank Fredericks","NAM","02.10.67","Lausanne","03.07.1996"
104,9.86,0.2,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","03.08.1997"
104,9.86,1.8,"Ato Boldon","TTO","30.12.73","Walnut","19.04.1998"
104,9.86,-0.4,"Ato Boldon","TTO","30.12.73","Ath&iacute;nai","17.06.1998"
104,9.86,0.1,"Ato Boldon","TTO","30.12.73","Ath&iacute;nai","16.06.1999"
104,9.86,0.4,"Ato Boldon","TTO","30.12.73","Lausanne","02.07.1999"
104,9.86,-0.2,"Maurice Greene","USA","23.07.74","Berlin","01.09.2000"
104,9.86,0.6,"Francis Obikwelu","POR","22.11.78","Ath&iacute;nai","22.08.2004"
104,9.86,0.2,"Asafa Powell","JAM","23.11.82","Stockholm","25.07.2006"
104,9.86,-0.5,"Asafa Powell","JAM","23.11.82","Berlin","03.09.2006"
104,9.86,-0.2,"Usain Bolt","JAM","21.08.86","Kingston","27.06.2009"
104,9.86,0.1,"Usain Bolt","JAM","21.08.86","Daegu","19.05.2010"
104,9.86,1,"Nesta Carter","JAM","10.11.85","Nottwil","08.08.2010"
104,9.86,2,"Asafa Powell","JAM","23.11.82","Budapest","30.07.2011"
104,9.86,1.4,"Keston Bledman","TTO","08.03.88","Port of Spain","23.06.2012"
104,9.86,1.8,"Tyson Gay","USA","09.08.82","Eugene","24.06.2012"
104,9.86,1.1,"Usain Bolt","JAM","21.08.86","Kingston","29.06.2012"
104,9.86,0.3,"Usain Bolt","JAM","21.08.86","Bruxelles","07.09.2012"
104,9.86,0.2,"Tyson Gay","USA","09.08.82","Kingston","04.05.2013"
104,9.86,-0.4,"Justin Gatlin","USA","10.02.82","Ostrava","17.06.2014"
104,9.86,1.1,"Keston Bledman","TTO","08.03.88","Port of Spain","27.06.2015"
104,9.86,1.3,"Jimmy Vicaut","FRA","27.02.92","Saint-Denis","04.07.2015"
104,9.86,0.9,"Mike Rodgers","USA","24.04.85","Beijing","23.08.2015"
104,9.86,1.8,"Jimmy Vicaut","FRA","27.02.92","Montreuil","07.06.2016"
104,9.86,2,"Trayvon Bromell","USA","10.07.95","Eugene","03.07.2016"
104,9.86,0.2,"Usain Bolt","JAM","21.08.86","Rio de Janeiro","14.08.2016"
131,9.87,0.3,"Linford Christie","GBR","02.04.60","Stuttgart","15.08.1993"
131,9.87,1.9,"Frank Fredericks","NAM","02.10.67","Helsinki","25.06.1996"
131,9.87,1.3,"Ato Boldon","TTO","30.12.73","Ath&iacute;nai","02.08.1997"
131,9.87,-0.2,"Obadele Thompson","BAR","30.03.76","Johannesburg","11.09.1998"
131,9.87,0.6,"Maurice Greene","USA","23.07.74","Stockholm","30.07.1999"
131,9.87,-0.3,"Maurice Greene","USA","23.07.74","Sydney","23.09.2000"
131,9.87,0.6,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","22.08.2004"
131,9.87,0.2,"Asafa Powell","JAM","23.11.82","Bruxelles","03.09.2004"
131,9.87,0.7,"Asafa Powell","JAM","23.11.82","Gateshead","31.08.2008"
131,9.87,0.4,"Asafa Powell","JAM","23.11.82","Stuttgart","13.09.2008"
131,9.87,0.4,"Justin Gatlin","USA","10.02.82","Ad-Dawhah","11.05.2012"
131,9.87,1,"Usain Bolt","JAM","21.08.86","London","05.08.2012"
131,9.87,1.8,"Nesta Carter","JAM","10.11.85","Madrid","13.07.2013"
131,9.87,0,"Justin Gatlin","USA","10.02.82","Beijing","21.05.2014"
131,9.87,1.6,"Asafa Powell","JAM","23.11.82","Austin","23.08.2014"
131,9.87,0,"Tyson Gay","USA","09.08.82","Eugene","26.06.2015"
131,9.87,0,"Asafa Powell","JAM","23.11.82","Luzern","14.07.2015"
131,9.87,0,"Asafa Powell","JAM","23.11.82","Bellinzona","21.07.2015"
131,9.87,-1.2,"Usain Bolt","JAM","21.08.86","London","24.07.2015"
131,9.87,-0.8,"Usain Bolt","JAM","21.08.86","London","24.07.2015"
151,9.88,1.2,"Leroy Burrell","USA","21.02.67","Tokyo","25.08.1991"
151,9.88,-0.1,"Ato Boldon","TTO","30.12.73","Kuala Lumpur","17.09.1998"
151,9.88,2,"Ato Boldon","TTO","30.12.73","Oslo","13.07.2001"
151,9.88,1.8,"Shawn Crawford","USA","14.01.78","Eugene","19.06.2004"
151,9.88,0.4,"Justin Gatlin","USA","10.02.82","Helsinki","07.08.2005"
151,9.88,2,"Tyson Gay","USA","09.08.82","Rethimn&oacute;","21.07.2006"
151,9.88,1.1,"Tyson Gay","USA","09.08.82","Ath&iacute;nai","16.09.2006"
151,9.88,0.4,"Asafa Powell","JAM","23.11.82","Stockholm","22.07.2008"
151,9.88,0.4,"Asafa Powell","JAM","23.11.82","Roma","10.07.2009"
151,9.88,0,"Asafa Powell","JAM","23.11.82","Z&uuml;rich","28.08.2009"
151,9.88,-0.2,"Tyson Gay","USA","09.08.82","Thessalon&iacute;ki","12.09.2009"
151,9.88,1.2,"Asafa Powell","JAM","23.11.82","Ostrava","27.05.2010"
151,9.88,1,"Walter Dix","USA","31.01.86","Nottwil","08.08.2010"
151,9.88,0.9,"Ryan Bailey","USA","13.04.89","Rieti","29.08.2010"
151,9.88,1,"Michael Frater","JAM","06.10.82","Lausanne","30.06.2011"
151,9.88,1,"Usain Bolt","JAM","21.08.86","Monaco","22.07.2011"
151,9.88,0.4,"Asafa Powell","JAM","23.11.82","Ad-Dawhah","11.05.2012"
151,9.88,1.1,"Asafa Powell","JAM","23.11.82","Kingston","29.06.2012"
151,9.88,1.5,"Ryan Bailey","USA","13.04.89","London","04.08.2012"
151,9.88,1.5,"Ryan Bailey","USA","13.04.89","London","05.08.2012"
151,9.88,1.5,"Tyson Gay","USA","09.08.82","Eugene","30.05.2015"
151,9.88,1.4,"Mike Rodgers","USA","24.04.85","Madrid","11.07.2015"
151,9.88,1,"Usain Bolt","JAM","21.08.86","Kingston","11.06.2016"
151,9.88,1.9,"Jimmy Vicaut","FRA","27.02.92","Angers","25.06.2016"
175,9.89,0.7,"Frank Fredericks","NAM","02.10.67","Atlanta","27.07.1996"
175,9.89,0.8,"Ato Boldon","TTO","30.12.73","Modesto","10.05.1997"
175,9.89,1.5,"Bruny Surin","CAN","12.07.67","Montr&eacute;al","01.08.1998"
175,9.89,0.9,"Maurice Greene","USA","23.07.74","Roma","12.07.2002"
175,9.89,0,"Shawn Crawford","USA","14.01.78","Ath&iacute;nai","21.08.2004"
175,9.89,0.6,"Shawn Crawford","USA","14.01.78","Ath&iacute;nai","22.08.2004"
175,9.89,1,"Justin Gatlin","USA","10.02.82","London","22.07.2005"
175,9.89,0.9,"Asafa Powell","JAM","23.11.82","Stuttgart","09.09.2006"
175,9.89,1.6,"Travis Padgett","USA","13.12.86","Eugene","28.06.2008"
175,9.89,1.6,"Darvis Patton","USA","04.12.77","Eugene","28.06.2008"
175,9.89,0.4,"Usain Bolt","JAM","21.08.86","Stockholm","22.07.2008"
175,9.89,0,"Richard Thompson","TTO","07.06.85","Beijing","16.08.2008"
175,9.89,1.1,"Asafa Powell","JAM","23.11.82","Szczecin","17.09.2008"
175,9.89,0.2,"Usain Bolt","JAM","21.08.86","Berlin","16.08.2009"
175,9.89,2,"Darvis Patton","USA","04.12.77","Shanghai","20.09.2009"
175,9.89,-0.4,"Yohan Blake","JAM","26.12.89","London","13.08.2010"
175,9.89,2,"Steve Mullings","JAM","29.11.82","Clermont","21.05.2011"
175,9.89,1.3,"Ngonidzashe Makusha","ZIM","11.03.87","Des Moines","10.06.2011"
175,9.89,1.3,"Nesta Carter","JAM","10.11.85","Bruxelles","16.09.2011"
175,9.89,0.9,"Keston Bledman","TTO","08.03.88","Orlando","26.05.2012"
175,9.89,1.1,"Justin Gatlin","USA","10.02.82","Des Moines","21.06.2013"
175,9.89,1.9,"Akani Simbine","RSA","21.09.93","Sz&eacute;kesfeh&eacute;rv&aacute;r","18.07.2016"
175,9.89,0.2,"Justin Gatlin","USA","10.02.82","Rio de Janeiro","14.08.2016"
198,9.9,1.9,"Leroy Burrell","USA","21.02.67","New York City","14.06.1991"
198,9.9,0.7,"Ato Boldon","TTO","30.12.73","Atlanta","27.07.1996"
198,9.9,0.2,"Maurice Greene","USA","23.07.74","Indianapolis","13.06.1997"
198,9.9,1,"Maurice Greene","USA","23.07.74","Lausanne","02.07.1997"
198,9.9,0,"Ato Boldon","TTO","30.12.73","Stuttgart","13.07.1997"
198,9.9,1.3,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","02.08.1997"
198,9.9,0.5,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","03.08.1997"
198,9.9,0.2,"Frank Fredericks","NAM","02.10.67","Bruxelles","22.08.1997"
198,9.9,0.3,"Maurice Greene","USA","23.07.74","Stockholm","05.08.1998"
198,9.9,0.3,"Maurice Greene","USA","23.07.74","Eugene","21.06.2001"
198,9.9,1.1,"Maurice Greene","USA","23.07.74","Lausanne","04.07.2001"
198,9.9,0.5,"Asafa Powell","JAM","23.11.82","Roma","13.07.2007"
198,9.9,1,"Asafa Powell","JAM","23.11.82","Kingston","27.06.2008"
198,9.9,-0.4,"Asafa Powell","JAM","23.11.82","Bruxelles","04.09.2009"
198,9.9,-0.2,"Asafa Powell","JAM","23.11.82","Thessalon&iacute;ki","12.09.2009"
198,9.9,2,"Steve Mullings","JAM","29.11.82","Starkville","16.04.2011"
198,9.9,0.6,"Asafa Powell","JAM","23.11.82","Kingston","24.06.2011"
198,9.9,1,"Nesta Carter","JAM","10.11.85","Monaco","22.07.2011"
198,9.9,1.8,"Asafa Powell","JAM","23.11.82","Budapest","30.07.2011"
198,9.9,1.6,"Yohan Blake","JAM","26.12.89","Kingston","14.04.2012"
198,9.9,1.3,"Justin Gatlin","USA","10.02.82","Eugene","02.06.2012"
198,9.9,0.7,"Yohan Blake","JAM","26.12.89","New York City","09.06.2012"
198,9.9,1.7,"Justin Gatlin","USA","10.02.82","Eugene","23.06.2012"
198,9.9,0.4,"Nickel Ashmeade","JAM","07.04.90","Moskva","11.08.2013"
198,9.9,-0.3,"Usain Bolt","JAM","21.08.86","Z&uuml;rich","29.08.2013"
198,9.9,0.6,"Mike Rodgers","USA","24.04.85","Bruxelles","06.09.2013"
198,9.9,0.7,"Asafa Powell","JAM","23.11.82","Rieti","07.09.2014"
198,9.9,1.5,"Mike Rodgers","USA","24.04.85","Eugene","30.05.2015"
198,9.9,1.7,"Trayvon Bromell","USA","10.07.95","Eugene","10.06.2015"
198,9.9,-0.8,"Mike Rodgers","USA","24.04.85","London","24.07.2015"
228,9.91,1.9,"Linford Christie","GBR","02.04.60","Victoria","23.08.1994"
228,9.91,1.3,"Donovan Bailey","CAN","16.12.67","Montr&eacute;al","15.07.1995"
228,9.91,1.5,"Dennis Mitchell","USA","20.02.66","Milano","07.09.1996"
228,9.91,1,"Frank Fredericks","NAM","02.10.67","Lausanne","02.07.1997"
228,9.91,0.5,"Donovan Bailey","CAN","16.12.67","Ath&iacute;nai","03.08.1997"
228,9.91,0.2,"Donovan Bailey","CAN","16.12.67","Ath&iacute;nai","03.08.1997"
228,9.91,-0.2,"Maurice Greene","USA","23.07.74","Sevilla","21.08.1999"
228,9.91,-0.4,"Maurice Greene","USA","23.07.74","Osaka","13.05.2000"
228,9.91,-0.3,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","11.06.2001"
228,9.91,-0.1,"Asafa Powell","JAM","23.11.82","Kingston","26.06.2004"
228,9.91,0,"Maurice Greene","USA","23.07.74","Sacramento","11.07.2004"
228,9.91,-0.3,"Asafa Powell","JAM","23.11.82","London","30.07.2004"
228,9.91,-0.6,"Asafa Powell","JAM","23.11.82","London","28.07.2006"
228,9.91,0.9,"Leonard Scott","USA","19.01.80","Stuttgart","09.09.2006"
228,9.91,-0.5,"Derrick Atkins","BAH","05.01.84","Osaka","26.08.2007"
228,9.91,0.3,"Asafa Powell","JAM","23.11.82","Beijing","16.08.2008"
228,9.91,0,"Walter Dix","USA","31.01.86","Beijing","16.08.2008"
228,9.91,-0.2,"Daniel Bailey","ANT","09.09.86","Saint-Denis","17.07.2009"
228,9.91,-1.7,"Usain Bolt","JAM","21.08.86","London","24.07.2009"
228,9.91,2,"Nesta Carter","JAM","10.11.85","Shanghai","20.09.2009"
228,9.91,-0.3,"Asafa Powell","JAM","23.11.82","Saint-Denis","16.07.2010"
228,9.91,0.1,"Yohan Blake","JAM","26.12.89","Bruxelles","27.08.2010"
228,9.91,0.6,"Usain Bolt","JAM","21.08.86","Roma","26.05.2011"
228,9.91,-0.2,"Usain Bolt","JAM","21.08.86","Ostrava","31.05.2011"
228,9.91,0.4,"Asafa Powell","JAM","23.11.82","Birmingham","10.07.2011"
228,9.91,-0.1,"Asafa Powell","JAM","23.11.82","Roma","31.05.2012"
228,9.91,0.7,"Churandy Martina","NED","03.07.84","London","05.08.2012"
228,9.91,0.1,"Justin Gatlin","USA","10.02.82","Beijing","21.05.2013"
228,9.91,1.1,"James Dasaolu","GBR","05.09.87","Birmingham","13.07.2013"
228,9.91,0.4,"Justin Gatlin","USA","10.02.82","Roma","05.06.2014"
228,9.91,1,"Mike Rodgers","USA","24.04.85","London","20.07.2014"
228,9.91,1.8,"Femi Ogunode","QAT","31.01.91","Wuhan","04.06.2015"
228,9.91,0.9,"Nickel Ashmeade","JAM","07.04.90","Kingston","26.06.2015"
228,9.91,0.5,"Trayvon Bromell","USA","10.07.95","Beijing","22.08.2015"
228,9.91,0.6,"Femi Ogunode","QAT","31.01.91","Gainesville","22.04.2016"
228,9.91,0.2,"Andre De Grasse","CAN","10.11.94","Rio de Janeiro","14.08.2016"
264,9.92,1.1,"Carl Lewis","USA","01.07.61","Seoul","24.09.1988"
264,9.92,1.2,"Linford Christie","GBR","02.04.60","Tokyo","25.08.1991"
264,9.92,0.3,"Andre Cason","USA","20.01.69","Stuttgart","15.08.1993"
264,9.92,0.8,"Ato Boldon","TTO","30.12.73","Eugene","01.06.1996"
264,9.92,1.1,"Dennis Mitchell","USA","20.02.66","Atlanta","15.06.1996"
264,9.92,0.8,"Jon Drummond","USA","09.09.68","Indianapolis","12.06.1997"
264,9.92,0.2,"Tim Montgomery","USA","28.01.75","Indianapolis","13.06.1997"
264,9.92,0.2,"Maurice Greene","USA","23.07.74","Bruxelles","22.08.1997"
264,9.92,0.7,"Ato Boldon","TTO","30.12.73","Monaco","08.08.1998"
264,9.92,-0.3,"Maurice Greene","USA","23.07.74","Lausanne","25.08.1998"
264,9.92,-0.2,"Seun Ogunkoya","NGR","28.12.77","Johannesburg","11.09.1998"
264,9.92,1.1,"Bruny Surin","CAN","12.07.67","N&uuml;rnberg","13.06.1999"
264,9.92,1,"Tim Harden","USA","27.01.74","Luzern","05.07.1999"
264,9.92,0,"Justin Gatlin","USA","10.02.82","Sacramento","11.07.2004"
264,9.92,0.9,"Tyson Gay","USA","09.08.82","Stuttgart","09.09.2006"
264,9.92,0.6,"Usain Bolt","JAM","21.08.86","Port of Spain","17.05.2008"
264,9.92,0.1,"Usain Bolt","JAM","21.08.86","Beijing","15.08.2008"
264,9.92,0.2,"Walter Dix","USA","31.01.86","Lausanne","02.09.2008"
264,9.92,-0.3,"Tyson Gay","USA","09.08.82","Zagreb","01.09.2010"
264,9.92,1.3,"Nesta Carter","JAM","10.11.85","Eugene","04.06.2011"
264,9.92,2,"Christophe Lemaitre","FRA","11.06.90","Albi","29.07.2011"
264,9.92,-1.4,"Yohan Blake","JAM","26.12.89","Daegu","28.08.2011"
264,9.92,1.5,"Asafa Powell","JAM","23.11.82","Kingston","29.06.2012"
264,9.92,0.1,"Usain Bolt","JAM","21.08.86","Moskva","11.08.2013"
264,9.92,0,"Justin Gatlin","USA","10.02.82","Shanghai","18.05.2014"
264,9.92,-0.1,"Mike Rodgers","USA","24.04.85","Linz","14.07.2014"
264,9.92,1.7,"Mike Rodgers","USA","24.04.85","Eugene","25.06.2015"
264,9.92,1.4,"Asafa Powell","JAM","23.11.82","Lausanne","09.07.2015"
264,9.92,1.4,"Tyson Gay","USA","09.08.82","Lausanne","09.07.2015"
264,9.92,0.7,"Jimmy Vicaut","FRA","27.02.92","Villeneuve d'Ascq","11.07.2015"
264,9.92,-1.2,"Mike Rodgers","USA","24.04.85","London","24.07.2015"
264,9.92,-0.8,"Kemar Bailey-Cole","JAM","10.01.92","London","24.07.2015"
264,9.92,0.3,"Jimmy Vicaut","FRA","27.02.92","Beijing","22.08.2015"
264,9.92,-0.5,"Trayvon Bromell","USA","10.07.95","Beijing","23.08.2015"
264,9.92,-0.5,"Andre De Grasse","CAN","10.11.94","Beijing","23.08.2015"
264,9.92,0.9,"Jak Ali Harvey","TUR","05.04.89","Erzurum","12.06.2016"
264,9.92,1.9,"Asafa Powell","JAM","23.11.82","Sz&eacute;kesfeh&eacute;rv&aacute;r","18.07.2016"
264,9.92,0.2,"Andre De Grasse","CAN","10.11.94","Rio de Janeiro","14.08.2016"
302,9.93,1.4,"Calvin Smith","USA","08.01.61","Air Force Academy","03.07.1983"
302,9.93,1,"Carl Lewis","USA","01.07.61","Roma","30.08.1987"
302,9.93,1.1,"Carl Lewis","USA","01.07.61","Z&uuml;rich","17.08.1988"
302,9.93,1.9,"Carl Lewis","USA","01.07.61","New York City","14.06.1991"
302,9.93,1.3,"Carl Lewis","USA","01.07.61","Tokyo","25.08.1991"
302,9.93,-0.6,"Michael Marsh","USA","04.08.67","Walnut","18.04.1992"
302,9.93,1.3,"Ato Boldon","TTO","30.12.73","Walnut","21.04.1996"
302,9.93,-0.4,"Donovan Bailey","CAN","16.12.67","Lausanne","03.07.1996"
302,9.93,1.1,"Frank Fredericks","NAM","02.10.67","Atlanta","26.07.1996"
302,9.93,-0.6,"Ato Boldon","TTO","30.12.73","Atlanta","27.07.1996"
302,9.93,0.5,"Frank Fredericks","NAM","02.10.67","Ath&iacute;nai","03.08.1997"
302,9.93,-0.4,"Frank Fredericks","NAM","02.10.67","Ath&iacute;nai","17.06.1998"
302,9.93,1.5,"Donovan Bailey","CAN","16.12.67","Montr&eacute;al","01.08.1998"
302,9.93,0.4,"Maurice Greene","USA","23.07.74","Lausanne","02.07.1999"
302,9.93,0.3,"Maurice Greene","USA","23.07.74","Sacramento","14.07.2000"
302,9.93,1.8,"Patrick Johnson","AUS","26.09.72","Mito","05.05.2003"
302,9.93,1.8,"Maurice Greene","USA","23.07.74","Eugene","19.06.2004"
302,9.93,0.8,"Shawn Crawford","USA","14.01.78","Sacramento","11.07.2004"
302,9.93,0,"Shawn Crawford","USA","14.01.78","Sacramento","11.07.2004"
302,9.93,-0.5,"Asafa Powell","JAM","23.11.82","Z&uuml;rich","06.08.2004"
302,9.93,0,"Francis Obikwelu","POR","22.11.78","Ath&iacute;nai","21.08.2004"
302,9.93,-0.2,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","21.08.2004"
