"","Rank","Time","Wind","Name","Country","Birthdate","City","Date","CityDate"
"1916",1779,10.06,1.7,"Martial Mbandjock","FRA","14.10.85","Albi","25.07.2008","Albi 25.07.2008"
"284",264,9.92,2,"Christophe Lemaitre","FRA","11.06.90","Albi","29.07.2011","Albi 29.07.2011"
"2053",2011,10.07,-1.5,"Obadele Thompson","BAR","30.03.76","Albuquerque","18.05.1996","Albuquerque 18.05.1996"
"2574",2532,10.09,0.9,"Vitaliy Savin","KAZ","23.01.66","Almaty","14.07.1995","Almaty 14.07.1995"
"1750",1581,10.05,1.8,"Ronnie Baker","USA","15.10.93","Ames","16.05.2015","Ames 16.05.2015"
"786",728,9.99,0.9,"Samuel Francis","QAT","27.03.87","Amman","26.07.2007","Amman 26.07.2007"
"1763",1581,10.05,0.8,"Femi Ogunode","QAT","31.01.91","Amsterdam","05.09.2015","Amsterdam 05.09.2015"
"1363",1202,10.03,1.5,"Jimmy Vicaut","FRA","27.02.92","Amsterdam","07.07.2016","Amsterdam 07.07.2016"
"1534",1366,10.04,0.8,"Churandy Martina","NED","03.07.84","Amsterdam","20.07.2013","Amsterdam 20.07.2013"
"939",834,10,0,"Justin Gatlin","USA","10.02.82","Amsterdam","22.08.2014","Amsterdam 22.08.2014"
"2504",2276,10.08,0.8,"Churandy Martina","NED","03.07.84","Amsterdam","31.07.2015","Amsterdam 31.07.2015"
"174",151,9.88,1.9,"Jimmy Vicaut","FRA","27.02.92","Angers","25.06.2016","Angers 25.06.2016"
"1048",954,10.01,-0.2,"Jak Ali Harvey","TUR","05.04.89","Ankara","04.09.2015","Ankara 04.09.2015"
"2072",2011,10.07,0.3,"Jean-Olivier Zirignon","CIV","27.04.71","Antananarivo","03.09.1997","Antananarivo 03.09.1997"
"1513",1366,10.04,1.1,"Darvis Patton","USA","04.12.77","Arlington","24.03.2012","Arlington 24.03.2012"
"432",413,9.95,0.3,"Derrick Atkins","BAH","05.01.84","Ath&iacute;nai","02.07.2007","Ath&iacute;nai 02.07.2007"
"133",131,9.87,1.3,"Ato Boldon","TTO","30.12.73","Ath&iacute;nai","02.08.1997","Ath&iacute;nai 02.08.1997"
"1281",1202,10.03,-0.4,"Francis Obikwelu","POR","22.11.78","Ath&iacute;nai","03.07.2006","Ath&iacute;nai 03.07.2006"
"106",104,9.86,0.2,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","03.08.1997","Ath&iacute;nai 03.08.1997"
"1379",1366,10.04,0.4,"Leroy Burrell","USA","21.02.67","Ath&iacute;nai","07.09.1990","Ath&iacute;nai 07.09.1990"
"588",557,9.97,-0.2,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","10.06.2002","Ath&iacute;nai 10.06.2002"
"236",228,9.91,-0.3,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","11.06.2001","Ath&iacute;nai 11.06.2001"
"2710",2532,10.09,-0.6,"Travis Padgett","USA","13.12.86","Ath&iacute;nai","13.07.2009","Ath&iacute;nai 13.07.2009"
"19",19,9.77,1.6,"Asafa Powell","JAM","23.11.82","Ath&iacute;nai","14.06.2005","Ath&iacute;nai 14.06.2005"
"34",34,9.79,0.1,"Maurice Greene","USA","23.07.74","Ath&iacute;nai","16.06.1999","Ath&iacute;nai 16.06.1999"
"157",151,9.88,1.1,"Tyson Gay","USA","09.08.82","Ath&iacute;nai","16.09.2006","Ath&iacute;nai 16.09.2006"
"108",104,9.86,-0.4,"Ato Boldon","TTO","30.12.73","Ath&iacute;nai","17.06.1998","Ath&iacute;nai 17.06.1998"
"179",175,9.89,0,"Shawn Crawford","USA","14.01.78","Ath&iacute;nai","21.08.2004","Ath&iacute;nai 21.08.2004"
"85",83,9.85,0.6,"Justin Gatlin","USA","10.02.82","Ath&iacute;nai","22.08.2004","Ath&iacute;nai 22.08.2004"
"972",954,10.01,0.5,"Francis Obikwelu","NGR","22.11.78","Ath&iacute;nai","28.06.2000","Ath&iacute;nai 28.06.2000"
"473",473,9.96,0.1,"Mel Lattany","USA","10.08.59","Athens","05.05.1984","Athens 05.05.1984"
"1919",1779,10.06,2,"Dwight Phillips","USA","01.10.77","Athens","09.05.2009","Athens 09.05.2009"
"1367",1366,10.04,1,"Mel Lattany","USA","10.08.59","Athens","11.04.1981","Athens 11.04.1981"
"1957",1779,10.06,1.9,"Diondre Batson","USA","13.07.92","Athens","13.04.2013","Athens 13.04.2013"
"2527",2532,10.09,0.6,"Calvin Smith","USA","08.01.61","Athens","14.05.1982","Athens 14.05.1982"
"1052",954,10.01,0,"Cejhae Greene","ANT","06.10.95","Athens","30.04.2016","Athens 30.04.2016"
"1047",954,10.01,0.1,"Asafa Powell","JAM","23.11.82","Atlanta","01.08.2015","Atlanta 01.08.2015"
"1055",954,10.01,0.2,"Asafa Powell","JAM","23.11.82","Atlanta","04.06.2016","Atlanta 04.06.2016"
"1668",1581,10.05,0.8,"Steve Mullings","JAM","29.11.82","Atlanta","05.06.2004","Atlanta 05.06.2004"
"745",728,9.99,-0.3,"Jon Drummond","USA","09.09.68","Atlanta","14.06.1996","Atlanta 14.06.1996"
"268",264,9.92,1.1,"Dennis Mitchell","USA","20.02.66","Atlanta","15.06.1996","Atlanta 15.06.1996"
"1260",1202,10.03,1.6,"Tim Montgomery","USA","28.01.75","Atlanta","20.05.2000","Atlanta 20.05.2000"
"310",302,9.93,1.1,"Frank Fredericks","NAM","02.10.67","Atlanta","26.07.1996","Atlanta 26.07.1996"
"69",69,9.84,0.7,"Donovan Bailey","CAN","16.12.67","Atlanta","27.07.1996","Atlanta 27.07.1996"
"1697",1581,10.05,1.4,"Marc Burns","TTO","07.01.83","Auburn","18.04.2009","Auburn 18.04.2009"
"326",302,9.93,-0.1,"Richard Thompson","TTO","07.06.85","Auburn","18.05.2008","Auburn 18.05.2008"
"697",650,9.98,1,"Rakieem Salaam","USA","05.04.90","Auburn","21.04.2012","Auburn 21.04.2012"
"1073",1069,10.02,1.3,"Linford Christie","GBR","02.04.60","Auckland","28.01.1990","Auckland 28.01.1990"
"2796",2532,10.09,1,"Kendal Williams","USA","23.09.95","Austin","02.05.2015","Austin 02.05.2015"
"563",557,9.97,1.2,"Olapade Adeniken","NGR","19.08.69","Austin","04.04.1992","Austin 04.04.1992"
"1246",1202,10.03,0,"Percival Spencer","JAM","24.02.75","Austin","05.04.1997","Austin 05.04.1997"
"891",834,10,1,"Richard Thompson","TTO","07.06.85","Austin","05.04.2008","Austin 05.04.2008"
"564",557,9.97,1.7,"Olapade Adeniken","NGR","19.08.69","Austin","05.06.1992","Austin 05.06.1992"
"2555",2532,10.09,2,"Olapade Adeniken","NGR","19.08.69","Austin","06.06.1992","Austin 06.06.1992"
"1931",1779,10.06,1.3,"Gerald Phiri","ZAM","06.10.88","Austin","09.04.2011","Austin 09.04.2011"
"1879",1779,10.06,1.7,"Tyson Gay","USA","09.08.82","Austin","11.06.2004","Austin 11.06.2004"
"2818",2532,10.09,1,"Nethaneel Mitchell-Blake","GBR","02.04.94","Austin","16.04.2016","Austin 16.04.2016"
"1321",1202,10.03,1.7,"Charles Silmon","USA","04.07.91","Austin","23.05.2013","Austin 23.05.2013"
"145",131,9.87,1.6,"Asafa Powell","JAM","23.11.82","Austin","23.08.2014","Austin 23.08.2014"
"2016",2011,10.07,2,"Stanley Floyd","USA","23.06.61","Austin","24.05.1980","Austin 24.05.1980"
"1180",1069,10.02,-0.1,"Trayvon Bromell","USA","10.07.95","Austin","27.03.2015","Austin 27.03.2015"
"1169",1069,10.02,0.9,"Trayvon Bromell","USA","10.07.95","Austin","28.03.2014","Austin 28.03.2014"
"1181",1069,10.02,-0.1,"Trayvon Bromell","USA","10.07.95","Austin","28.03.2015","Austin 28.03.2015"
"1038",954,10.01,1.5,"Trayvon Bromell","USA","10.07.95","Austin","29.03.2014","Austin 29.03.2014"
"2279",2276,10.08,1.6,"Terry Scott","USA","23.06.64","Austin","30.05.1985","Austin 30.05.1985"
"2552",2532,10.09,1.9,"Osmond Ezinwa","NGR","22.11.71","Azusa","14.03.1992","Azusa 14.03.1992"
"2690",2532,10.09,0.9,"Ivory Williams","USA","02.05.85","Baie Mahault","01.05.2008","Baie Mahault 01.05.2008"
"2491",2276,10.08,-2.4,"Asafa Powell","JAM","23.11.82","Baie Mahault","02.05.2015","Baie Mahault 02.05.2015"
"1567",1366,10.04,0.3,"Asafa Powell","JAM","23.11.82","Baie Mahault","14.05.2016","Baie Mahault 14.05.2016"
"862",834,10,1.9,"Koji Ito","JPN","29.01.70","Bangkok","13.12.1998","Bangkok 13.12.1998"
"1642",1581,10.05,1.6,"Koji Ito","JPN","29.01.70","Bangkok","14.12.1998","Bangkok 14.12.1998"
"481",473,9.96,0.5,"Linford Christie","GBR","02.04.60","Barcelona","01.08.1992","Barcelona 01.08.1992"
"1731",1581,10.05,0.1,"Adam Gemili","GBR","06.10.93","Barcelona","11.07.2012","Barcelona 11.07.2012"
"1936",1779,10.06,-1.1,"Yohan Blake","JAM","26.12.89","Barcelona","22.07.2011","Barcelona 22.07.2011"
"1928",1779,10.06,-1.2,"Christophe Lemaitre","FRA","11.06.90","Barcelona","28.07.2010","Barcelona 28.07.2010"
"2033",2011,10.07,0,"Linford Christie","GBR","02.04.60","Barcelona","31.07.1992","Barcelona 31.07.1992"
"2761",2532,10.09,1.7,"Kim Collins","SKN","05.04.76","Basseterre","10.06.2012","Basseterre 10.06.2012"
"717",650,9.98,1.8,"Kim Collins","SKN","05.04.76","Basseterre","13.06.2015","Basseterre 13.06.2015"
"1032",954,10.01,2,"Antoine Adams","SKN","31.08.88","Basseterre","16.06.2013","Basseterre 16.06.2013"
"2532",2532,10.09,1.4,"Sam Graddy","USA","10.02.64","Baton Rouge","12.05.1984","Baton Rouge 12.05.1984"
"1648",1581,10.05,1.8,"Bernard Williams","USA","19.01.78","Baton Rouge","14.05.2000","Baton Rouge 14.05.2000"
"1548",1366,10.04,1,"Richard Thompson","TTO","07.06.85","Baton Rouge","18.04.2015","Baton Rouge 18.04.2015"
"2221",2011,10.07,1.6,"Gabriel Mvumvure","ZIM","23.02.88","Baton Rouge","19.04.2014","Baton Rouge 19.04.2014"
"1615",1581,10.05,1.8,"Olapade Adeniken","NGR","19.08.69","Baton Rouge","20.04.1996","Baton Rouge 20.04.1996"
"743",728,9.99,0.9,"Donovan Bailey","CAN","16.12.67","Baton Rouge","22.04.1995","Baton Rouge 22.04.1995"
"1084",1069,10.02,-0.1,"Deji Aliu","NGR","22.11.75","Bauchi","18.03.1995","Bauchi 18.03.1995"
"553",473,9.96,2,"Joel Fearon","GBR","11.10.88","Bedford","30.07.2016","Bedford 30.07.2016"
"2478",2276,10.08,1.5,"Adam Gemili","GBR","06.10.93","Bedford","31.05.2014","Bedford 31.05.2014"
"280",264,9.92,0.1,"Usain Bolt","JAM","21.08.86","Beijing","15.08.2008","Beijing 15.08.2008"
"3",3,9.69,0,"Usain Bolt","JAM","21.08.86","Beijing","16.08.2008","Beijing 16.08.2008"
"403",354,9.94,-0.1,"Justin Gatlin","USA","10.02.82","Beijing","18.05.2016","Beijing 18.05.2016"
"465",413,9.95,0.2,"Marvin Bracy","USA","15.12.93","Beijing","20.05.2015","Beijing 20.05.2015"
"255",228,9.91,0.1,"Justin Gatlin","USA","10.02.82","Beijing","21.05.2013","Beijing 21.05.2013"
"144",131,9.87,0,"Justin Gatlin","USA","10.02.82","Beijing","21.05.2014","Beijing 21.05.2014"
"261",228,9.91,0.5,"Trayvon Bromell","USA","10.07.95","Beijing","22.08.2015","Beijing 22.08.2015"
"28",19,9.77,0.9,"Justin Gatlin","USA","10.02.82","Beijing","23.08.2015","Beijing 23.08.2015"
"1178",1069,10.02,0.6,"Asafa Powell","JAM","23.11.82","Bel&eacute;m","10.08.2014","Bel&eacute;m 10.08.2014"
"791",728,9.99,-0.3,"Daniel Bailey","ANT","09.09.86","Bel&eacute;m","24.05.2009","Bel&eacute;m 24.05.2009"
"2338",2276,10.08,0.2,"Bruny Surin","CAN","12.07.67","Bellinzona","01.07.1998","Bellinzona 01.07.1998"
"1849",1779,10.06,0.9,"Bruny Surin","CAN","12.07.67","Bellinzona","01.09.1999","Bellinzona 01.09.1999"
"1568",1366,10.04,0.3,"Mike Rodgers","USA","24.04.85","Bellinzona","06.06.2016","Bellinzona 06.06.2016"
"2598",2532,10.09,0.4,"Osmond Ezinwa","NGR","22.11.71","Bellinzona","18.08.1997","Bellinzona 18.08.1997"
"148",131,9.87,0,"Asafa Powell","JAM","23.11.82","Bellinzona","21.07.2015","Bellinzona 21.07.2015"
"600",557,9.97,0.5,"Asafa Powell","JAM","23.11.82","Beograd","29.05.2007","Beograd 29.05.2007"
"794",728,9.99,1.1,"Dwain Chambers","GBR","05.04.78","Bergen","19.06.2010","Bergen 19.06.2010"
"2145",2011,10.07,1.7,"Derrick Atkins","BAH","05.01.84","Berkeley","26.04.2008","Berkeley 26.04.2008"
"679",650,9.98,2,"Derrick Atkins","BAH","05.01.84","Berkeley","28.04.2007","Berkeley 28.04.2007"
"2413",2276,10.08,0.8,"Nesta Carter","JAM","10.11.85","Berlin","01.06.2008","Berlin 01.06.2008"
"661",650,9.98,0.1,"Jon Drummond","USA","09.09.68","Berlin","01.09.1998","Berlin 01.09.1998"
"111",104,9.86,-0.2,"Maurice Greene","USA","23.07.74","Berlin","01.09.2000","Berlin 01.09.2000"
"1537",1366,10.04,0.8,"Kemar Bailey-Cole","JAM","10.01.92","Berlin","01.09.2013","Berlin 01.09.2013"
"928",834,10,0.1,"Kemar Bailey-Cole","JAM","10.01.92","Berlin","02.09.2012","Berlin 02.09.2012"
"114",104,9.86,-0.5,"Asafa Powell","JAM","23.11.82","Berlin","03.09.2006","Berlin 03.09.2006"
"2271",2011,10.07,0.4,"Kim Collins","SKN","05.04.76","Berlin","03.09.2016","Berlin 03.09.2016"
"990",954,10.01,0.6,"Dwight Thomas","JAM","23.09.80","Berlin","04.09.2005","Berlin 04.09.2005"
"2105",2011,10.07,0.3,"Coby Miller","USA","19.10.76","Berlin","06.09.2002","Berlin 06.09.2002"
"2091",2011,10.07,0.9,"Bruny Surin","CAN","12.07.67","Berlin","07.09.1999","Berlin 07.09.1999"
"1384",1366,10.04,0,"Leroy Burrell","USA","21.02.67","Berlin","10.09.1991","Berlin 10.09.1991"
"58",51,9.82,0.1,"Yohan Blake","JAM","26.12.89","Berlin","11.09.2011","Berlin 11.09.2011"
"1292",1202,10.03,1.4,"Daniel Bailey","ANT","09.09.86","Berlin","14.06.2009","Berlin 14.06.2009"
"837",834,10,1,"Chidi Imoh","NGR","27.08.63","Berlin","15.08.1986","Berlin 15.08.1986"
"436",413,9.95,-0.4,"Asafa Powell","JAM","23.11.82","Berlin","15.08.2009","Berlin 15.08.2009"
"1",1,9.58,0.9,"Usain Bolt","JAM","21.08.86","Berlin","16.08.2009","Berlin 16.08.2009"
"2019",2011,10.07,0,"Carl Lewis","USA","01.07.61","Berlin","17.08.1983","Berlin 17.08.1983"
"2288",2276,10.08,1.7,"Leroy Burrell","USA","21.02.67","Berlin","18.08.1989","Berlin 18.08.1989"
"2277",2276,10.08,1.2,"Carl Lewis","USA","01.07.61","Berlin","20.08.1982","Berlin 20.08.1982"
"519",473,9.96,0.1,"Nesta Carter","JAM","10.11.85","Berlin","22.08.2010","Berlin 22.08.2010"
"1786",1779,10.06,1.9,"Frank Emmelmann","GDR","15.09.61","Berlin","22.09.1985","Berlin 22.09.1985"
"753",728,9.99,0.3,"Frank Fredericks","NAM","02.10.67","Berlin","26.08.1997","Berlin 26.08.1997"
"843",834,10,1,"Dennis Mitchell","USA","20.02.66","Berlin","30.08.1994","Berlin 30.08.1994"
"2324",2276,10.08,-0.4,"Dennis Mitchell","USA","20.02.66","Berlin","30.08.1996","Berlin 30.08.1996"
"669",650,9.98,0.6,"Francis Obikwelu","NGR","22.11.78","Berlin","31.08.2001","Berlin 31.08.2001"
"2112",2011,10.07,-0.3,"Patrick Johnson","AUS","26.09.72","Bern","28.06.2003","Bern 28.06.2003"
"1907",1779,10.06,0.4,"Dwain Chambers","GBR","05.04.78","Biberach","28.06.2008","Biberach 28.06.2008"
"349",302,9.93,2,"Marvin Bracy","USA","15.12.93","Birmingham","07.06.2015","Birmingham 07.06.2015"
"252",228,9.91,0.4,"Asafa Powell","JAM","23.11.82","Birmingham","10.07.2011","Birmingham 10.07.2011"
"1702",1581,10.05,-1.8,"Simeon Williamson","GBR","16.01.86","Birmingham","11.07.2009","Birmingham 11.07.2009"
"894",834,10,1.6,"Dwain Chambers","GBR","05.04.78","Birmingham","12.07.2008","Birmingham 12.07.2008"
"1963",1779,10.06,1.6,"Dwain Chambers","GBR","05.04.78","Birmingham","12.07.2013","Birmingham 12.07.2013"
"1869",1779,10.06,1.9,"Mark Lewis-Francis","GBR","04.09.82","Birmingham","13.07.2002","Birmingham 13.07.2002"
"256",228,9.91,1.1,"James Dasaolu","GBR","05.09.87","Birmingham","13.07.2013","Birmingham 13.07.2013"
"980",954,10.01,1.7,"Dwain Chambers","GBR","05.04.78","Birmingham","14.07.2001","Birmingham 14.07.2001"
"1402",1366,10.04,0.1,"Linford Christie","GBR","02.04.60","Birmingham","15.06.1996","Birmingham 15.06.1996"
"2488",2276,10.08,-1.9,"Kemar Bailey-Cole","JAM","10.01.92","Birmingham","24.08.2014","Birmingham 24.08.2014"
"2561",2532,10.09,-0.4,"Linford Christie","GBR","02.04.60","Birmingham","27.06.1992","Birmingham 27.06.1992"
"807",728,9.99,0.8,"Nesta Carter","JAM","10.11.85","Birmingham","30.06.2013","Birmingham 30.06.2013"
"2746",2532,10.09,1.2,"Dwain Chambers","GBR","05.04.78","Birmingham","30.07.2011","Birmingham 30.07.2011"
"723",650,9.98,1.5,"Wayde van Niekerk","RSA","15.07.92","Bloemfontein","12.03.2016","Bloemfontein 12.03.2016"
"1845",1779,10.06,0.9,"Andr&eacute; Domingos da Silva","BRA","26.11.72","Bogot&aacute;","25.06.1999","Bogot&aacute; 25.06.1999"
"1643",1581,10.05,1.6,"John Capel","USA","27.11.78","Boise","04.06.1999","Boise 04.06.1999"
"663",650,9.98,1.6,"Leonard Myles-Mills","GHA","09.05.73","Boise","05.06.1999","Boise 05.06.1999"
"2440",2276,10.08,0.6,"Christophe Lemaitre","FRA","11.06.90","Bondoufle","22.05.2011","Bondoufle 22.05.2011"
"351",302,9.93,1.9,"Kim Collins","SKN","05.04.76","Bottrop","29.05.2016","Bottrop 29.05.2016"
"666",650,9.98,2,"Francis Obikwelu","NGR","22.11.78","Braga","21.06.2000","Braga 21.06.2000"
"2302",2276,10.08,1.4,"Daniel Effiong","NGR","17.06.72","Bratislava","01.06.1994","Bratislava 01.06.1994"
"2025",2011,10.07,1.4,"Calvin Smith","USA","08.01.61","Bratislava","09.06.1988","Bratislava 09.06.1988"
"1332",1202,10.03,0.7,"Jimmy Vicaut","FRA","27.02.92","Braunschweig","21.06.2014","Braunschweig 21.06.2014"
"1993",1779,10.06,0.3,"Egwero Ogho-Ogene","NGR","26.11.88","Brazzaville","13.09.2015","Brazzaville 13.09.2015"
"1565",1366,10.04,-2.1,"Ben Youssef Meit&eacute;","CIV","11.11.86","Brazzaville","14.09.2015","Brazzaville 14.09.2015"
"1293",1202,10.03,0,"Andrew Hinds","BAR","25.04.84","Bridgetown","20.06.2009","Bridgetown 20.06.2009"
"2404",2276,10.08,1.9,"Joshua Ross","AUS","09.02.81","Brisbane","10.03.2007","Brisbane 10.03.2007"
"1799",1779,10.06,1,"Linford Christie","GBR","02.04.60","Bruxelles","03.09.1993","Bruxelles 03.09.1993"
"1433",1366,10.04,0.1,"Bruny Surin","CAN","12.07.67","Bruxelles","03.09.1999","Bruxelles 03.09.1999"
"138",131,9.87,0.2,"Asafa Powell","JAM","23.11.82","Bruxelles","03.09.2004","Bruxelles 03.09.2004"
"211",198,9.9,-0.4,"Asafa Powell","JAM","23.11.82","Bruxelles","04.09.2009","Bruxelles 04.09.2009"
"1109",1069,10.02,0.8,"Asafa Powell","JAM","23.11.82","Bruxelles","05.09.2003","Bruxelles 05.09.2003"
"23",19,9.77,-1.3,"Usain Bolt","JAM","21.08.86","Bruxelles","05.09.2008","Bruxelles 05.09.2008"
"27",19,9.77,0.6,"Justin Gatlin","USA","10.02.82","Bruxelles","05.09.2014","Bruxelles 05.09.2014"
"44",41,9.8,0.6,"Usain Bolt","JAM","21.08.86","Bruxelles","06.09.2013","Bruxelles 06.09.2013"
"122",104,9.86,0.3,"Usain Bolt","JAM","21.08.86","Bruxelles","07.09.2012","Bruxelles 07.09.2012"
"838",834,10,0.5,"Leroy Burrell","USA","21.02.67","Bruxelles","10.08.1990","Bruxelles 10.08.1990"
"721",650,9.98,-0.4,"Justin Gatlin","USA","10.02.82","Bruxelles","11.09.2015","Bruxelles 11.09.2015"
"2293",2276,10.08,0.5,"Andre Cason","USA","20.01.69","Bruxelles","13.09.1991","Bruxelles 13.09.1991"
"74",69,9.84,-0.3,"Asafa Powell","JAM","23.11.82","Bruxelles","14.09.2007","Bruxelles 14.09.2007"
"16",15,9.76,1.3,"Usain Bolt","JAM","21.08.86","Bruxelles","16.09.2011","Bruxelles 16.09.2011"
"1375",1366,10.04,-0.6,"Carl Lewis","USA","01.07.61","Bruxelles","19.08.1988","Bruxelles 19.08.1988"
"1230",1202,10.03,-0.1,"Linford Christie","GBR","02.04.60","Bruxelles","19.08.1994","Bruxelles 19.08.1994"
"205",198,9.9,0.2,"Frank Fredericks","NAM","02.10.67","Bruxelles","22.08.1997","Bruxelles 22.08.1997"
"1245",1202,10.03,0.4,"Dennis Mitchell","USA","20.02.66","Bruxelles","23.08.1996","Bruxelles 23.08.1996"
"1442",1366,10.04,0,"Ato Boldon","TTO","30.12.73","Bruxelles","24.08.2001","Bruxelles 24.08.2001"
"2312",2276,10.08,-0.4,"Linford Christie","GBR","02.04.60","Bruxelles","25.08.1995","Bruxelles 25.08.1995"
"785",728,9.99,0.3,"Asafa Powell","JAM","23.11.82","Bruxelles","25.08.2006","Bruxelles 25.08.2006"
"1368",1366,10.04,-2.2,"Calvin Smith","USA","08.01.61","Bruxelles","26.08.1983","Bruxelles 26.08.1983"
"781",728,9.99,0,"Justin Gatlin","USA","10.02.82","Bruxelles","26.08.2005","Bruxelles 26.08.2005"
"36",34,9.79,0.1,"Tyson Gay","USA","09.08.82","Bruxelles","27.08.2010","Bruxelles 27.08.2010"
"367",354,9.94,-0.3,"Maurice Greene","USA","23.07.74","Bruxelles","28.08.1998","Bruxelles 28.08.1998"
"982",954,10.01,0.3,"Francis Obikwelu","POR","22.11.78","Bruxelles","30.08.2002","Bruxelles 30.08.2002"
"1207",1202,10.03,1.7,"Linford Christie","GBR","02.04.60","Budapest","06.07.1987","Budapest 06.07.1987"
"2351",2276,10.08,1,"Roland N&eacute;meth","HUN","19.09.74","Budapest","09.06.1999","Budapest 09.06.1999"
"808",728,9.99,0.2,"Kim Collins","SKN","05.04.76","Budapest","10.07.2013","Budapest 10.07.2013"
"1422",1366,10.04,0.3,"Darren Campbell","GBR","12.09.73","Budapest","19.08.1998","Budapest 19.08.1998"
"1583",1581,10.05,1.1,"Carl Lewis","USA","01.07.61","Budapest","20.08.1984","Budapest 20.08.1984"
"2017",2011,10.07,1.5,"Mel Lattany","USA","10.08.59","Budapest","29.07.1981","Budapest 29.07.1981"
"118",104,9.86,2,"Asafa Powell","JAM","23.11.82","Budapest","30.07.2011","Budapest 30.07.2011"
"747",728,9.99,0,"Donovan Bailey","CAN","16.12.67","Burnaby","18.05.1997","Burnaby 18.05.1997"
"2334",2276,10.08,1.6,"Frank Fredericks","NAM","02.10.67","Cape Town","20.03.1998","Cape Town 20.03.1998"
"1781",1779,10.06,2,"Leandro Pe&ntilde;alver","CUB","23.05.61","Caracas","24.08.1983","Caracas 24.08.1983"
"373",354,9.94,1.4,"Maurice Greene","USA","23.07.74","Carson","01.06.2003","Carson 01.06.2003"
"1689",1581,10.05,-0.3,"Tyson Gay","USA","09.08.82","Carson","18.05.2008","Carson 18.05.2008"
"994",954,10.01,1.5,"Marcus Brunson","USA","24.04.78","Carson","21.05.2006","Carson 21.05.2006"
"1274",1202,10.03,-1.3,"Leonard Scott","USA","19.01.80","Carson","22.05.2005","Carson 22.05.2005"
"777",728,9.99,1,"Shawn Crawford","USA","14.01.78","Carson","25.06.2005","Carson 25.06.2005"
"2135",2011,10.07,2,"Churandy Martina","AHO","03.07.84","Cartagena","25.07.2006","Cartagena 25.07.2006"
"1894",1779,10.06,0.6,"Churandy Martina","AHO","03.07.84","Cartagena","26.07.2006","Cartagena 26.07.2006"
"766",728,9.99,0.5,"Brian Lewis","USA","05.12.74","Cayenne","04.05.2002","Cayenne 04.05.2002"
