"","Rank","Time","Wind","Name","Country","Birthdate","City","Date","CityDate"
"267",258,10.9,"+0.7","Zhanna Block","UKR","06.07.72","Ath&iacute;nai","02.08.1997","Ath&iacute;nai 02.08.1997"
"103",98,10.83,"+0.4","Marion Jones","USA","12.10.75","Ath&iacute;nai","03.08.1997","Ath&iacute;nai 03.08.1997"
"1119",1084,11.03,"-1.3","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Ath&iacute;nai","05.06.1999","Ath&iacute;nai 05.06.1999"
"887",888,11.01,"-0.6","Marlies G&ouml;hr","GDR","21.03.58","Ath&iacute;nai","07.09.1982","Ath&iacute;nai 07.09.1982"
"392",377,10.93,"-0.1","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Ath&iacute;nai","08.07.2000","Ath&iacute;nai 08.07.2000"
"1031",986,11.02,"+0.9","Zhanna Block","UKR","06.07.72","Ath&iacute;nai","10.06.2002","Ath&iacute;nai 10.06.2002"
"395",377,10.93,"+0.6","Zhanna Block","UKR","06.07.72","Ath&iacute;nai","11.06.2001","Ath&iacute;nai 11.06.2001"
"356",333,10.92,"+0.1","Veronica Campbell-Brown","JAM","16.05.82","Ath&iacute;nai","13.07.2008","Ath&iacute;nai 13.07.2008"
"570",525,10.96,"+0.4","Veronica Campbell-Brown","JAM","16.05.82","Ath&iacute;nai","13.07.2009","Ath&iacute;nai 13.07.2009"
"351",333,10.92,"-0.9","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Ath&iacute;nai","16.06.1999","Ath&iacute;nai 16.06.1999"
"1923",1853,11.09,"+0.2","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Ath&iacute;nai","16.06.2001","Ath&iacute;nai 16.06.2001"
"633",592,10.97,"+0.1","Sherone Simpson","JAM","12.08.84","Ath&iacute;nai","16.09.2006","Ath&iacute;nai 16.09.2006"
"449",423,10.94,"+0.9","Yuliya Nesterenko","BLR","15.06.79","Ath&iacute;nai","20.08.2004","Ath&iacute;nai 20.08.2004"
"353",333,10.92,"+0.1","Yuliya Nesterenko","BLR","15.06.79","Ath&iacute;nai","21.08.2004","Ath&iacute;nai 21.08.2004"
"618",592,10.97,"+1.7","Chryste Gaines","USA","14.09.70","Ath&iacute;nai","28.06.2000","Ath&iacute;nai 28.06.2000"
"1027",986,11.02,"0.0","LaTasha Jenkins","USA","19.12.77","Athens","05.05.2001","Athens 05.05.2001"
"1319",1292,11.05,"-0.1","Debbie Ferguson-McKenzie","BAH","16.01.76","Athens","16.05.1999","Athens 16.05.1999"
"543",525,10.96,"+0.9","Gail Devers","USA","19.11.66","Atlanta","14.06.1996","Atlanta 14.06.1996"
"89",82,10.82,"+1.1","Gwen Torrence","USA","12.06.65","Atlanta","15.06.1996","Atlanta 15.06.1996"
"147",141,10.85,"+1.6","Gwen Torrence","USA","12.06.65","Atlanta","18.05.1996","Atlanta 18.05.1996"
"345",333,10.92,"-0.5","Gail Devers","USA","19.11.66","Atlanta","26.07.1996","Atlanta 26.07.1996"
"390",377,10.93,"+0.4","Merlene Ottey","JAM","10.05.60","Atlanta","27.07.1996","Atlanta 27.07.1996"
"1958",1853,11.09,"+1.6","Kelly-Ann Baptiste","TTO","14.10.86","Auburn","18.05.2008","Auburn 18.05.2008"
"1642",1545,11.07,"+0.9","Sheniqua Ferguson","BAH","24.11.89","Auburn","21.04.2012","Auburn 21.04.2012"
"1670",1545,11.07,"+1.9","Morolake Akinosun","USA","17.05.94","Austin","02.04.2016","Austin 02.04.2016"
"1930",1853,11.09,"+2.0","Mary Onyali","NGR","03.02.68","Austin","03.05.2003","Austin 03.05.2003"
"1963",1853,11.09,"+1.0","Alexandra Anderson","USA","28.01.87","Austin","04.04.2009","Austin 04.04.2009"
"1488",1395,11.06,"+1.9","Kelly-Ann Baptiste","TTO","14.10.86","Austin","05.04.2008","Austin 05.04.2008"
"386",377,10.93,"+1.5","Dawn Sowell","USA","27.03.66","Austin","07.04.1989","Austin 07.04.1989"
"626",592,10.97,"+1.0","Lauryn Williams","USA","11.09.83","Austin","11.06.2004","Austin 11.06.2004"
"1541",1545,11.07,"+2.0","Merlene Ottey","JAM","10.05.60","Austin","29.05.1981","Austin 29.05.1981"
"1531",1395,11.06,"+1.5","Desir&egrave;e Henry","GBR","26.08.95","Azusa","15.04.2016","Azusa 15.04.2016"
"1663",1545,11.07,"+2.0","Ana Cl&aacute;udia Lemos Silva","BRA","06.11.88","Azusa","17.04.2015","Azusa 17.04.2015"
"1797",1696,11.08,"+0.4","Sherri-Ann Brooks","JAM","11.02.83","Baie Mahault","01.05.2010","Baie Mahault 01.05.2010"
"1281",1188,11.04,"-0.3","English Gardner","USA","22.04.92","Baie Mahault","14.05.2016","Baie Mahault 14.05.2016"
"84",82,10.82,"-1.0","Gail Devers","USA","19.11.66","Barcelona","01.08.1992","Barcelona 01.08.1992"
"192",187,10.87,"-0.2","Merlene Ottey","JAM","10.05.60","Barcelona","20.09.1991","Barcelona 20.09.1991"
"673",661,10.98,"-1.1","Irina Privalova","RUS","12.11.68","Barcelona","31.07.1992","Barcelona 31.07.1992"
"1894",1853,11.09,"+1.2","Sheila Echols","USA","02.10.64","Baton Rouge","13.05.1995","Baton Rouge 13.05.1995"
"573",525,10.96,"+1.9","Kimberlyn Duncan","USA","02.08.91","Baton Rouge","13.05.2012","Baton Rouge 13.05.2012"
"1367",1292,11.05,"+1.0","Kimberlyn Duncan","USA","02.08.91","Baton Rouge","21.04.2012","Baton Rouge 21.04.2012"
"1577",1545,11.07,"+1.8","Cheryl Taplin","USA","02.09.72","Baton Rouge","25.05.1994","Baton Rouge 25.05.1994"
"1547",1545,11.07,"+0.9","Alice Brown","USA","20.09.60","Baton Rouge","28.07.1985","Baton Rouge 28.07.1985"
"492",476,10.95,"+1.4","Li Xuemei","CHN","05.01.77","Beijing","06.06.1998","Beijing 06.06.1998"
"1006",986,11.02,"0.0","Liu Xiaomei","CHN","11.01.72","Beijing","08.09.1993","Beijing 08.09.1993"
"697",661,10.98,"+0.4","Kerron Stewart","JAM","16.04.84","Beijing","16.08.2008","Beijing 16.08.2008"
"43",38,10.78,"0.0","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Beijing","17.08.2008","Beijing 17.08.2008"
"1533",1395,11.06,"-0.1","Murielle Ahour&eacute;","CIV","23.08.87","Beijing","18.05.2016","Beijing 18.05.2016"
"1379",1292,11.05,"+0.2","Michelle-Lee Ahye","TTO","10.04.92","Beijing","20.05.2015","Beijing 20.05.2015"
"1266",1188,11.04,"+1.2","Blessing Okagbare","NGR","10.09.88","Beijing","21.05.2013","Beijing 21.05.2013"
"228",210,10.88,"+0.5","Tori Bowie","USA","27.08.90","Beijing","23.08.2015","Beijing 23.08.2015"
"33",29,10.76,"-0.3","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Beijing","24.08.2015","Beijing 24.08.2015"
"1373",1292,11.05,"+1.7","Ana Cl&aacute;udia Lemos Silva","BRA","06.11.88","Bel&eacute;m","12.05.2013","Bel&eacute;m 12.05.2013"
"1736",1696,11.08,"+0.4","Zhanna Block","UKR","06.07.72","Belaya Cerkov","26.06.1998","Belaya Cerkov 26.06.1998"
"689",661,10.98,"+1.7","Sevatheda Fynes","BAH","17.10.74","Bellinzona","01.09.1999","Bellinzona 01.09.1999"
"489",476,10.95,"-0.4","Merlene Ottey","JAM","10.05.60","Bellinzona","12.07.1996","Bellinzona 12.07.1996"
"1666",1545,11.07,"0.0","Tianna Bartoletta","USA","30.08.85","Bellinzona","21.07.2015","Bellinzona 21.07.2015"
"165",163,10.86,"+0.8","Anelia Nuneva","BUL","30.06.62","Beograd","17.06.1987","Beograd 17.06.1987"
"72",68,10.81,"+0.2","Marion Jones","USA","12.10.75","Berlin","01.09.1998","Berlin 01.09.1998"
"1127",1084,11.03,"+0.1","Sevatheda Fynes","BAH","17.10.74","Berlin","01.09.2000","Berlin 01.09.2000"
"355",333,10.92,"0.0","Sherone Simpson","JAM","12.08.84","Berlin","03.09.2006","Berlin 03.09.2006"
"900",888,11.01,"-0.4","Merlene Ottey","JAM","10.05.60","Berlin","04.07.1990","Berlin 04.07.1990"
"933",888,11.01,"+1.1","Christine Arron","FRA","13.09.73","Berlin","04.09.2005","Berlin 04.09.2005"
"1196",1188,11.04,"-0.5","Merlene Ottey","JAM","10.05.60","Berlin","05.07.1989","Berlin 05.07.1989"
"68",68,10.81,"+1.7","Marlies G&ouml;hr","GDR","21.03.58","Berlin","08.06.1983","Berlin 08.06.1983"
"125",123,10.84,"+0.2","Merlene Ottey","JAM","10.05.60","Berlin","10.09.1991","Berlin 10.09.1991"
"852",806,11,"+0.1","Kerron Stewart","JAM","16.04.84","Berlin","14.06.2009","Berlin 14.06.2009"
"727",722,10.99,"+0.1","Marlies G&ouml;hr","GDR","21.03.58","Berlin","15.07.1984","Berlin 15.07.1984"
"382",377,10.93,"+1.6","Evelyn Ashford","USA","15.04.57","Berlin","15.08.1986","Berlin 15.08.1986"
"359",333,10.92,"-0.3","Kerron Stewart","JAM","16.04.84","Berlin","16.08.2009","Berlin 16.08.2009"
"982",986,11.02,"+0.7","Evelyn Ashford","USA","15.04.57","Berlin","17.08.1979","Berlin 17.08.1979"
"1846",1853,11.09,"+0.1","Merlene Ottey","JAM","10.05.60","Berlin","17.08.1983","Berlin 17.08.1983"
"333",333,10.92,"+1.3","Evelyn Ashford","USA","15.04.57","Berlin","17.08.1984","Berlin 17.08.1984"
"82",82,10.82,"+1.4","Merlene Ottey","JAM","10.05.60","Berlin","17.08.1990","Berlin 17.08.1990"
"21",20,10.73,"+0.1","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Berlin","17.08.2009","Berlin 17.08.2009"
"295",293,10.91,"-0.5","Marlies G&ouml;hr","GDR","21.03.58","Berlin","20.07.1984","Berlin 20.07.1984"
"234",231,10.89,"+1.8","Katrin Krabbe","GER","22.11.69","Berlin","20.07.1988","Berlin 20.07.1988"
"891",888,11.01,"+0.7","Marlies G&ouml;hr","GDR","21.03.58","Berlin","20.08.1986","Berlin 20.08.1986"
"667",661,10.98,"+0.7","Gail Devers","USA","19.11.66","Berlin","21.08.1987","Berlin 21.08.1987"
"388",377,10.93,"+1.5","Irina Privalova","RUS","12.11.68","Berlin","21.08.1992","Berlin 21.08.1992"
"1969",1853,11.09,"+0.4","Sherone Simpson","JAM","12.08.84","Berlin","22.08.2010","Berlin 22.08.2010"
"164",163,10.86,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Berlin","22.09.1985","Berlin 22.09.1985"
"1880",1853,11.09,"+0.2","Carlette Guidry","USA","04.09.68","Berlin","23.06.1991","Berlin 23.06.1991"
"1398",1395,11.06,"-0.5","Alice Brown","USA","20.09.60","Berlin","23.08.1985","Berlin 23.08.1985"
"70",68,10.81,"+0.8","Marion Jones","USA","12.10.75","Berlin","26.08.1997","Berlin 26.08.1997"
"904",888,11.01,"-0.5","Merlene Ottey","JAM","10.05.60","Berlin","27.08.1993","Berlin 27.08.1993"
"1552",1545,11.07,"+0.3","Merlene Ottey","JAM","10.05.60","Berlin","30.08.1985","Berlin 30.08.1985"
"242",231,10.89,"-0.1","Gail Devers","USA","19.11.66","Berlin","30.08.1996","Berlin 30.08.1996"
"294",293,10.91,"+0.6","Marlies G&ouml;hr","GDR","21.03.58","Berlin","31.07.1983","Berlin 31.07.1983"
"1076",986,11.02,"+0.8","English Gardner","USA","22.04.92","Birmingham","05.06.2016","Birmingham 05.06.2016"
"1825",1696,11.08,"+0.5","Dina Asher-Smith","GBR","04.12.95","Birmingham","05.07.2015","Birmingham 05.07.2015"
"1855",1853,11.09,"+1.4","Evelyn Ashford","USA","15.04.57","Birmingham","19.07.1986","Birmingham 19.07.1986"
"1237",1188,11.04,"+1.7","Aleen Bailey","JAM","25.11.80","Birmingham","25.07.2004","Birmingham 25.07.2004"
"76",68,10.81,"+0.7","Carmelita Jeter","USA","24.11.79","Birmingham","26.08.2012","Birmingham 26.08.2012"
"1226",1188,11.04,"+2.0","Lyubov Perepelova","UZB","26.02.79","Bishkek","03.06.2000","Bishkek 03.06.2000"
"1714",1696,11.08,"+1.4","Evette de Klerk","RSA","21.08.65","Bloemfontein","27.04.1990","Bloemfontein 27.04.1990"
"1215",1188,11.04,"-0.5","Sevatheda Fynes","BAH","17.10.74","Bloomington","07.06.1997","Bloomington 07.06.1997"
"1892",1853,11.09,"+1.2","Holli Hyche","USA","06.09.71","Boise","02.06.1994","Boise 02.06.1994"
"1101",1084,11.03,"+2.0","Holli Hyche","USA","06.09.71","Boise","03.06.1994","Boise 03.06.1994"
"686",661,10.98,"+1.1","Debbie Ferguson-McKenzie","BAH","16.01.76","Boise","04.06.1999","Boise 04.06.1999"
"1224",1188,11.04,"+1.4","Angela Williams","USA","30.01.80","Boise","05.06.1999","Boise 05.06.1999"
"491",476,10.95,"+2.0","Christine Arron","FRA","13.09.73","Bonneuil-sur-Marne","24.05.1998","Bonneuil-sur-Marne 24.05.1998"
"1178",1084,11.03,"+0.4","Tori Bowie","USA","27.08.90","Boston","17.06.2016","Boston 17.06.2016"
"1677",1545,11.07,"+1.5","Lekeisha Lawson","USA","03.06.87","Boston","18.06.2016","Boston 18.06.2016"
"508",476,10.95,"+1.8","Simone Facey","JAM","07.05.85","Boulder","18.05.2008","Boulder 18.05.2008"
"1844",1853,11.09,"-0.2","Marlies G&ouml;hr","GDR","21.03.58","Bratislava","03.06.1983","Bratislava 03.06.1983"
"1842",1853,11.09,"+1.7","Jarmila Kratochv&iacute;lov&aacute;","CZE","26.01.51","Bratislava","06.06.1981","Bratislava 06.06.1981"
"1669",1545,11.07,"0.0","Marie-Jos&eacute;e Ta Lou","CIV","18.11.88","Brazzaville","13.09.2015","Brazzaville 13.09.2015"
"1074",986,11.02,"+0.6","Marie-Jos&eacute;e Ta Lou","CIV","18.11.88","Brazzaville","14.09.2015","Brazzaville 14.09.2015"
"1208",1188,11.04,"+0.6","Melanie Paschke","GER","29.06.70","Bremen","30.06.1995","Bremen 30.06.1995"
"922",888,11.01,"+1.1","Zhanna Block","UKR","06.07.72","Brisbane","04.09.2001","Brisbane 04.09.2001"
"1083",1084,11.03,"+1.4","Merlene Ottey","JAM","10.05.60","Brisbane","04.10.1982","Brisbane 04.10.1982"
"169",163,10.86,"+0.9","Gwen Torrence","USA","12.06.65","Bruxelles","03.09.1993","Bruxelles 03.09.1993"
"1773",1696,11.08,"+0.1","Aleen Bailey","JAM","25.11.80","Bruxelles","03.09.2004","Bruxelles 03.09.2004"
"225",210,10.88,"+0.5","Carmelita Jeter","USA","24.11.79","Bruxelles","04.09.2009","Bruxelles 04.09.2009"
"220",210,10.88,"-0.1","Chryste Gaines","USA","14.09.70","Bruxelles","05.09.2003","Bruxelles 05.09.2003"
"19",16,10.72,"-0.3","Shelly-Ann Fraser-Pryce","JAM","27.12.86","Bruxelles","06.09.2013","Bruxelles 06.09.2013"
"1243",1188,11.04,"+2.0","Kim Gevaert","BEL","05.08.78","Bruxelles","09.07.2006","Bruxelles 09.07.2006"
"1869",1853,11.09,"-1.2","Merlene Ottey","JAM","10.05.60","Bruxelles","11.09.1987","Bruxelles 11.09.1987"
"45",38,10.78,"+0.4","Carmelita Jeter","USA","24.11.79","Bruxelles","16.09.2011","Bruxelles 16.09.2011"
"101",98,10.83,"0.0","Gwen Torrence","USA","12.06.65","Bruxelles","19.08.1994","Bruxelles 19.08.1994"
"30",29,10.76,"+0.9","Marion Jones","USA","12.10.75","Bruxelles","22.08.1997","Bruxelles 22.08.1997"
"129",123,10.84,"-0.5","Gail Devers","USA","19.11.66","Bruxelles","23.08.1996","Bruxelles 23.08.1996"
"500",476,10.95,"+0.1","Chandra Sturrup","BAH","12.09.71","Bruxelles","24.08.2001","Bruxelles 24.08.2001"
"1095",1084,11.03,"-0.1","Merlene Ottey","JAM","10.05.60","Bruxelles","25.08.1989","Bruxelles 25.08.1989"
"110",98,10.83,"-1.3","Marion Jones","USA","12.10.75","Bruxelles","25.08.2000","Bruxelles 25.08.2000"
"506",476,10.95,"+0.3","Sherone Simpson","JAM","12.08.84","Bruxelles","25.08.2006","Bruxelles 25.08.2006"
"1086",1084,11.03,"-1.7","Diane Williams","USA","14.12.60","Bruxelles","26.08.1983","Bruxelles 26.08.1983"
"632",592,10.97,"+0.3","Christine Arron","FRA","13.09.73","Bruxelles","26.08.2005","Bruxelles 26.08.2005"
"1543",1545,11.07,"+0.4","Evelyn Ashford","USA","15.04.57","Bruxelles","28.08.1981","Bruxelles 28.08.1981"
"239",231,10.89,"+0.6","Merlene Ottey","JAM","10.05.60","Bruxelles","28.08.1992","Bruxelles 28.08.1992"
"61",60,10.8,"-0.8","Marion Jones","USA","12.10.75","Bruxelles","28.08.1998","Bruxelles 28.08.1998"
"271",258,10.9,"+1.0","Zhanna Block","UKR","06.07.72","Bruxelles","30.08.2002","Bruxelles 30.08.2002"
"337",333,10.92,"+0.8","Merlene Ottey","JAM","10.05.60","Budapest","06.07.1987","Budapest 06.07.1987"
"1872",1853,11.09,"+1.7","Merlene Ottey","JAM","10.05.60","Budapest","08.08.1989","Budapest 08.08.1989"
"1657",1545,11.07,"0.0","Carmelita Jeter","USA","24.11.79","Budapest","10.07.2013","Budapest 10.07.2013"
"735",722,10.99,"+1.8","Silke M&ouml;ller","GER","20.06.64","Budapest","15.09.1987","Budapest 15.09.1987"
"1223",1188,11.04,"+0.6","Ekater&iacute;ni Th&aacute;nou","GRE","01.02.75","Budapest","18.08.1998","Budapest 18.08.1998"
"20",20,10.73,"+2.0","Christine Arron","FRA","13.09.73","Budapest","19.08.1998","Budapest 19.08.1998"
"1682",1545,11.07,"+0.9","Candace Hill","USA","11.02.99","Bydgoszcz","21.07.2016","Bydgoszcz 21.07.2016"
"1518",1395,11.06,"-1.0","Blessing Okagbare","NGR","10.09.88","Calabar","19.06.2014","Calabar 19.06.2014"
"1504",1395,11.06,"-0.3","Blessing Okagbare","NGR","10.09.88","Calabar","25.06.2010","Calabar 25.06.2010"
"1827",1696,11.08,"0.0","Candace Hill","USA","11.02.99","Cali","16.07.2015","Cali 16.07.2015"
"1447",1395,11.06,"-0.7","Marion Jones","USA","12.10.75","Cape Town","26.03.1999","Cape Town 26.03.1999"
"1964",1853,11.09,"-0.9","Carmelita Jeter","USA","24.11.79","Carson","16.05.2009","Carson 16.05.2009"
"272",258,10.9,"+2.0","Torri Edwards","USA","31.01.77","Carson","20.05.2007","Carson 20.05.2007"
"775",722,10.99,"+1.0","Veronica Campbell-Brown","JAM","16.05.82","Carson","21.05.2006","Carson 21.05.2006"
"564",525,10.96,"-0.3","Veronica Campbell-Brown","JAM","16.05.82","Carson","22.05.2005","Carson 22.05.2005"
"1240",1188,11.04,"+1.4","Me'Lisa Barber","USA","04.10.80","Carson","24.06.2005","Carson 24.06.2005"
"915",888,11.01,"+1.4","Glory Alozie","NGR","30.12.77","Castell&oacute;n de la Plana","01.05.1999","Castell&oacute;n de la Plana 01.05.1999"
"1700",1696,11.08,"0.0","Evelyn Ashford","USA","15.04.57","Catania","19.09.1986","Catania 19.09.1986"
"1112",1084,11.03,"-0.3","Gail Devers","USA","19.11.66","Catania","31.08.1997","Catania 31.08.1997"
"1996",1853,11.09,"+1.5","Angela Tenorio","ECU","27.01.96","Ceunca","29.05.2015","Ceunca 29.05.2015"
"1901",1853,11.09,"+1.8","Sevatheda Fynes","BAH","17.10.74","Champaign","25.05.1997","Champaign 25.05.1997"
"1210",1188,11.04,"+1.5","Merlene Ottey","JAM","10.05.60","Chemnitz","19.05.1996","Chemnitz 19.05.1996"
"12",12,10.71,"+0.1","Marion Jones","USA","12.10.75","Chengdu","12.05.1998","Chengdu 12.05.1998"
"911",888,11.01,"+1.4","Li Xuemei","CHN","05.01.77","Chengdu","18.04.1998","Chengdu 18.04.1998"
"1033",986,11.02,"-0.6","Chryste Gaines","USA","14.09.70","Ciudad de M&eacute;xico","03.05.2003","Ciudad de M&eacute;xico 03.05.2003"
"805",806,11,"0.0","Marlies G&ouml;hr","GDR","21.03.58","Ciudad de M&eacute;xico","08.09.1979","Ciudad de M&eacute;xico 08.09.1979"
"806",806,11,"0.0","Marlies G&ouml;hr","GDR","21.03.58","Ciudad de M&eacute;xico","09.09.1979","Ciudad de M&eacute;xico 09.09.1979"
"1684",1696,11.08,"+1.2","Wyomia Tyus","USA","29.08.45","Ciudad de M&eacute;xico","15.10.1968","Ciudad de M&eacute;xico 15.10.1968"
"1911",1853,11.09,"+0.9","Liliana Allen","MEX","24.05.70","Ciudad de M&eacute;xico","19.06.1999","Ciudad de M&eacute;xico 19.06.1999"
"136",123,10.84,"+1.8","Kelly-Ann Baptiste","TTO","14.10.86","Clermont","05.06.2010","Clermont 05.06.2010"
"1485",1395,11.06,"+1.4","Angela Williams","USA","30.01.80","Clermont","09.06.2007","Clermont 09.06.2007"
"1262",1188,11.04,"-1.7","Veronica Campbell-Brown","JAM","16.05.82","Clermont","09.06.2012","Clermont 09.06.2012"
"1988",1853,11.09,"+1.3","Simone Facey","JAM","07.05.85","Clermont","10.05.2014","Clermont 10.05.2014"
"222",210,10.88,"+1.2","Veronica Campbell-Brown","JAM","16.05.82","Clermont","14.06.2008","Clermont 14.06.2008"
"874",806,11,"+0.8","Kelly-Ann Baptiste","TTO","14.10.86","Clermont","16.05.2015","Clermont 16.05.2015"
"1148",1084,11.03,"+1.1","Gloria Asumnu","USA","22.05.85","Clermont","24.05.2008","Clermont 24.05.2008"
"872",806,11,"+1.5","Samantha Henry-Robinson","JAM","25.09.88","Clermont","26.04.2014","Clermont 26.04.2014"
"880",806,11,"0.0","Tori Bowie","USA","27.08.90","Clermont","30.04.2016","Clermont 30.04.2016"
"961",888,11.01,"+1.2","Samantha Henry-Robinson","JAM","25.09.88","Clermont","31.05.2014","Clermont 31.05.2014"
"2008",1853,11.09,"+1.9","Candace Hill","USA","11.02.99","Clovis","24.06.2016","Clovis 24.06.2016"
"51",51,10.79,"+0.6","Evelyn Ashford","USA","15.04.57","Colorado Springs","03.07.1983","Colorado Springs 03.07.1983"
"258",258,10.9,"+0.6","Evelyn Ashford","USA","15.04.57","Colorado Springs","22.07.1981","Colorado Springs 22.07.1981"
"928",888,11.01,"+1.5","Lauryn Williams","USA","11.09.83","Coral Gables","10.04.2004","Coral Gables 10.04.2004"
"1994",1853,11.09,"+0.8","Angela Tenorio","ECU","27.01.96","Cuenca","14.03.2015","Cuenca 14.03.2015"
"1600",1545,11.07,"+0.3","Merlene Ottey","JAM","10.05.60","Cuxhaven","22.07.1998","Cuxhaven 22.07.1998"
"917",888,11.01,"0.0","Merlene Ottey","JAM","10.05.60","Cuxhaven","23.07.1999","Cuxhaven 23.07.1999"
"995",986,11.02,"-0.6","Marlies G&ouml;hr","GDR","21.03.58","D&uuml;sseldorf","19.06.1988","D&uuml;sseldorf 19.06.1988"
"1971",1853,11.09,"0.0","Carmelita Jeter","USA","24.11.79","Daegu","12.05.2011","Daegu 12.05.2011"
"854",806,11,"-0.3","Carmelita Jeter","USA","24.11.79","Daegu","19.05.2010","Daegu 19.05.2010"
"113",98,10.83,"-0.4","Carmelita Jeter","USA","24.11.79","Daegu","25.09.2009","Daegu 25.09.2009"
"279",258,10.9,"-1.4","Carmelita Jeter","USA","24.11.79","Daegu","29.08.2011","Daegu 29.08.2011"
"1317",1292,11.05,"-1.1","Mary Onyali","NGR","03.02.68","Dakar","19.08.1998","Dakar 19.08.1998"
"1802",1696,11.08,"+1.5","Candyce McGrone","USA","24.03.89","Des Moines","10.06.2011","Des Moines 10.06.2011"
"157",141,10.85,"+2.0","Barbara Pierre","USA","28.04.87","Des Moines","21.06.2013","Des Moines 21.06.2013"
"1503",1395,11.06,"0.0","LaShauntea Moore","USA","31.07.83","Des Moines","24.04.2010","Des Moines 24.04.2010"
"535",525,10.96,"+1.2","Marie-Jos&eacute; P&eacute;rec","FRA","09.05.68","Dijon","27.07.1991","Dijon 27.07.1991"
"1990",1853,11.09,"+0.8","Barbara Pierre","USA","28.04.87","Donnas","13.07.2014","Donnas 13.07.2014"
"1305",1292,11.05,"+1.1","Andrea Philipp","GER","29.07.71","Dortmund","08.06.1997","Dortmund 08.06.1997"
"916",888,11.01,"+0.8","Merlene Ottey","JAM","10.05.60","Dortmund","26.06.1999","Dortmund 26.06.1999"
"260",258,10.9,"+1.4","Anelia Nuneva","BUL","30.06.62","Dr&aacute;ma","08.08.1987","Dr&aacute;ma 08.08.1987"
"210",210,10.88,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Dresden","01.07.1977","Dresden 01.07.1977"
"293",293,10.91,"+1.0","Marlies G&ouml;hr","GDR","21.03.58","Dresden","01.07.1982","Dresden 01.07.1982"
"889",888,11.01,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Dresden","02.08.1985","Dresden 02.08.1985"
"339",333,10.92,"+0.9","Heike Drechsler","GER","16.12.64","Dresden","11.06.1988","Dresden 11.06.1988"
"422",423,10.94,"+1.4","Marlies G&ouml;hr","GDR","21.03.58","Dresden","12.08.1978","Dresden 12.08.1978"
"591",592,10.97,"+0.8","Marlies G&ouml;hr","GDR","21.03.58","Dresden","13.06.1979","Dresden 13.06.1979"
"428",423,10.94,"+1.0","Heike Drechsler","GER","16.12.64","Dresden","16.08.1986","Dresden 16.08.1986"
"1536",1545,11.07,"+1.8","Renate Stecher","GDR","12.05.50","Dresden","20.07.1973","Dresden 20.07.1973"
"377",377,10.93,"+2.0","Marlies G&ouml;hr","GDR","21.03.58","Dresden","24.05.1980","Dresden 24.05.1980"
