"Rank" "Name" "Age" "Networths" "Worth" "Location" "Industry" "TechnologyIndicator"
60 "Richard DeVos" 88 "$6,8 B" 6.8 "Holland, Michigan" "Amway" 0
61 "Jim Kennedy" 66 "$6,7 B" 6.7 "Atlanta, Georgia" "media" 0
62 "John Malone" 73 "$6,7 B" 6.7 "Elizabeth, Colorado" "cable television" 0
63 "Elon Musk" 43 "$6,7 B" 6.7 "Los Angeles, California" "Tesla Motors" 0
64 "Blair Parry-Okeden" 63 "$6,7 B" 6.7 "Scone" "media" 0
65 "David Duffield" 73 "$6,4 B" 6.4 "Blackhawk, California" "business software" 0
66 "Herbert Kohler, Jr. & family" 75 "$6,4 B" 6.4 "Kohler, Wisconsin" "plumbing fixtures" 0
67 "Thomas Peterffy" 69 "$6,4 B" 6.4 "Greenwich, Connecticut" "discount brokerage" 0
68 "S. Truett Cathy" 93 "$6 B" 6 "Hampton, Georgia" "Chick-fil-A" 0
69 "David Geffen" 71 "$6 B" 6 "Malibu, California" "movies, music" 0
70 "Micky Arison" 65 "$5,9 B" 5.9 "Bal Harbour, Florida" "Carnival Cruises" 0
71 "Sumner Redstone" 91 "$5,8 B" 5.8 "Beverly Hills, California" "Media" 0
72 "Dennis Washington" 80 "$5,8 B" 5.8 "Missoula, Montana" "construction, mining" 0
73 "Leslie Wexner" 77 "$5,7 B" 5.7 "New Albany, Ohio" "retail" 0
74 "Ray Lee Hunt" 71 "$5,6 B" 5.6 "Dallas, Texas" "oil, real estate" 0
75 "Charles Johnson" 81 "$5,6 B" 5.6 "Hillsborough, California" "money management" 0
76 "Richard LeFrak & family" 69 "$5,6 B" 5.6 "New York, New York" "real estate" 0
77 "Dannine Avara" 50 "$5,5 B" 5.5 "Houston, Texas" "pipelines" 0
78 "Scott Duncan" 31 "$5,5 B" 5.5 "Houston, Texas" "pipelines" 0
79 "Milane Frantz" 45 "$5,5 B" 5.5 "Houston, Texas" "pipelines" 0
80 "Jeffery Hildebrand" 55 "$5,5 B" 5.5 "Houston, Texas" "Oil" 0
81 "Rupert Johnson, Jr." 73 "$5,5 B" 5.5 "Burlingame, California" "money management" 0
82 "Ira Rennert" 80 "$5,5 B" 5.5 "New York, New York" "investments" 0
83 "Randa Williams" 53 "$5,5 B" 5.5 "Houston, Texas" "pipelines" 0
84 "Stanley Kroenke" 67 "$5,3 B" 5.3 "Columbia, Missouri" "sports, real estate" 0
85 "Leon Black" 63 "$5,2 B" 5.2 "New York, New York" "private equity" 0
86 "Gayle Cook" 80 "$5,2 B" 5.2 "Bloomington, Indiana" "medical devices" 0
87 "Dustin Moskovitz" 30 "$5,2 B" 5.2 "San Francisco, California" "Facebook" 1
88 "Patrick McGovern" 77 "$5,1 B" 5.1 "Hollis, New Hampshire" "media" 0
89 "Charles Schwab" 77 "$5,1 B" 5.1 "Atherton, California" "discount brokerage" 0
90 "Jin Sook & Do Won Chang" 59 "$5 B" 5 "Beverly Hills, California" "Fashion retail" 0
91 "Thomas Frist, Jr. & family" 76 "$5 B" 5 "Nashville, Tennessee" "health care" 0
92 "David Green" 72 "$5 B" 5 "Oklahoma City, Oklahoma" "retail" 0
93 "Robert Rowling" 60 "$4,9 B" 4.9 "Dallas, Texas" "investments" 0
94 "Stephen Ross" 74 "$4,8 B" 4.8 "New York, New York" "real estate" 0
95 "Bruce Kovner" 69 "$4,7 B" 4.7 "New York, New York" "hedge funds" 0
96 "Henry Kravis" 70 "$4,7 B" 4.7 "New York, New York" "private equity" 0
97 "Ann Walton Kroenke" 65 "$4,7 B" 4.7 "Columbia, Missouri" "Wal-Mart" 0
98 "Gordon Moore" 85 "$4,6 B" 4.6 "Woodside, California" "Intel" 1
99 "Daniel Ziff" 42 "$4,6 B" 4.6 "New York, New York" "investments" 0
100 "Dirk Ziff" 50 "$4,6 B" 4.6 "North Palm Beach, Florida" "investments" 0
