"country","year","strike.volume","unemployment","inflation","left.parliament","centralization","density"
"Austria",1973,61,1,7.5,50.8,0.999206462744623,60.8
"Austria",1974,3,1.1,9.5,50.8,0.999709050734527,57.9
"Austria",1975,2,1.7,8.5,50.8,0.995136240876745,59
"Austria",1976,0,1.7,7.3,50.8,0.999294679309241,59.2
"Austria",1977,0,1.6,5.5,50.8,0.998962699773256,58.6
"Austria",1978,4,1.8,3.6,50.8,0.996082559481729,57.6
"Austria",1979,0,1.7,3.7,51.9,0.997537448247895,56.7
"Austria",1980,6,1.6,6.3,51.9,0.997742181920912,56.7
"Austria",1981,1,2.1,6.8,51.9,0.995561881479807,56.4
"Austria",1982,0,3.1,5.4,51.9,0.996008576354943,53.8
"Austria",1983,0,3.8,3.3,49.2,0.996075078810099,53.6
"Austria",1984,0,3.9,5.7,49.2,0.995224248687737,52.1
"Austria",1985,8,4.1,3.2,49.2,0.997391271321103,51.6
"Belgium",1951,242,4.5,9.6,39.6,0.753246987427119,NA
"Belgium",1952,356,5.2,0.9,39.6,0.750702441446483,NA
"Belgium",1953,170,5.5,-0.3,39.6,0.751012455541641,NA
"Belgium",1954,182,5.2,1.3,42.5,0.748627588814125,NA
"Belgium",1955,403,4,-0.5,42.5,0.748948844892439,NA
"Belgium",1956,372,2.9,2.8,42.5,0.745101788043976,NA
"Belgium",1957,1453,2.4,3.2,42.5,0.754404394105077,NA
"Belgium",1958,114,3.4,1.3,40.6,0.748990942677483,NA
"Belgium",1959,383,4.1,1.2,40.6,0.750767798635643,NA
"Belgium",1960,129,3.4,0.3,40.6,0.745695853091311,41.5
"Belgium",1961,35,2.7,1,42,0.748671660446562,40.4
"Belgium",1962,1,2.1,1.4,42,0.754174315428827,38.9
"Belgium",1963,90,1.7,2.2,42,0.752547090530861,39.8
"Belgium",1964,157,1.5,4.2,42,0.745110289140139,39.3
"Belgium",1965,25,1.7,4.1,33,0.745374932452105,39.9
"Belgium",1966,189,1.8,4.2,33,0.748602455940563,40.3
"Belgium",1967,64,2.5,2.9,33,0.751631676233374,41.2
"Belgium",1968,129,2.9,2.7,30.2,0.752409924296662,42
"Belgium",1969,56,2.3,3.8,30.2,0.74800537068164,42
"Belgium",1970,483,1.9,3.9,30.2,0.748081893089693,42.1
"Belgium",1971,410,1.8,4.3,30.2,0.75205386657035,43.9
"Belgium",1972,117,2.3,5.5,31.1,0.748558679909911,46.8
"Belgium",1973,282,2.3,7,31.1,0.748856686577201,48
"Belgium",1974,184,2.4,12.7,29.7,0.746951563621405,49.1
"Belgium",1975,196,4.4,12.8,29.7,0.750974549956154,51.9
"Belgium",1976,291,5.8,9.2,29.7,0.747047389531508,53.4
"Belgium",1977,216,6.6,7.1,30.2,0.746563123033848,54.3
"Belgium",1978,325,7.1,4.5,30.2,0.749792215090711,53.4
"Belgium",1979,197,7.3,4.5,29.3,0.74953336045146,53.5
"Belgium",1980,69,7.7,6.7,29.3,0.752115168897435,54.1
"Canada",1951,242,2.4,10.4,78.7,0.000225127064622938,NA
"Canada",1952,5918,2.9,2.5,78.7,0.000215537501499057,NA
"Canada",1953,335,2.9,-0.9,73.5,0.000873116671573371,NA
"Canada",1954,372,4.5,0.6,73.5,0.00445782161084935,NA
"Canada",1955,454,4.3,0.2,73.5,0.00467602251796052,NA
"Canada",1956,284,3.3,1.4,73.5,0.00303765187505633,NA
"Canada",1957,325,4.5,3.2,49,0.00326619324274361,NA
"Canada",1958,618,6.9,2.6,21.5,0.0038945819879882,NA
"Canada",1959,470,5.9,1.1,21.5,0.00321754321455955,NA
"Canada",1960,153,6.9,1.3,21.5,0.0014535561692901,29.2
"Canada",1961,28,7.1,0.9,21.5,0.002206918715965,28.5
"Canada",1962,279,5.4,1.2,44.9,0.00230445717228577,27.1
"Canada",1963,175,5.1,1.8,55.1,0.00110225094249472,26.8
"Canada",1964,289,4.3,1.8,55.1,0.00484953653533012,26.4
"Canada",1965,408,3.6,2.5,57.3,0.0043153987149708,26.7
"Canada",1966,849,3.3,3.7,57.3,0.00350993350381032,27.6
"Canada",1967,612,3.8,3.6,57.3,0.00352801619796082,29.6
"Canada",1968,762,4.4,4.1,67,0.00143976868130267,30.2
"Canada",1969,1125,4.4,4.5,67,0.00143498053075746,30.1
"Canada",1970,934,5.6,3.4,67,0.000511630156543106,31
"Canada",1971,399,6.1,2.8,67,0.00313998426543549,30.8
"Canada",1972,1041,6.2,4.8,53,0.00356154420180246,31.8
"Canada",1973,732,5.5,7.6,53,0.00067189586814493,33.1
"Canada",1974,1121,5.3,10.9,59,0.0019677322008647,33.1
"Canada",1975,1303,6.9,10.8,59,0.000902723062317819,34.3
"Canada",1976,1359,7.1,7.5,59,0.000473000835627318,34.5
"Canada",1977,381,8,8,59,0.000764987184666097,35.1
"Canada",1978,826,8.3,8.9,59,0.00219668477773666,35.5
"Canada",1979,841,7.4,9.1,49.6,0.00342792503535748,34.6
"Canada",1980,930,7.4,10.2,63.4,0.00271874490659684,34
"Canada",1981,894,7.5,12.5,63.4,0.000773334878031165,33.9
"Canada",1982,605,10.9,10.8,63.4,0.00334819324780256,36.8
"Canada",1983,462,11.8,5.8,63.4,0.00395898063201457,35.9
"Canada",1984,393,11.2,4.3,24.8,4.98523004353012e-06,35.9
"Canada",1985,315,10.4,4,24.8,0.000113947072532028,35.3
"Denmark",1951,3,9.7,10.5,44.6,0.498753752540797,NA
"Denmark",1952,3,12.5,3.8,44.6,0.500394049810711,NA
"Denmark",1953,2,9.2,0.9,45.6,0.497078874432482,NA
"Denmark",1954,17,9,0,46.9,0.4955713837035,NA
"Denmark",1955,7,9.7,5.5,46.9,0.499173568522092,NA
"Denmark",1956,789,11.1,6,46.9,0.504878963737283,NA
"Denmark",1957,5,9.9,2.7,43.4,0.501076624931302,NA
"Denmark",1958,6,9.2,0.7,43.4,0.495124317645095,NA
"Denmark",1959,12,5.9,1.7,43.4,0.504483264011797,NA
"Denmark",1960,41,4.2,1.3,43.4,0.499895628488157,56.9
"Denmark",1961,1486,3.3,3.5,49.7,0.499476523497142,57.8
"Denmark",1962,9,1.8,7.4,49.7,0.49704770966433,58.1
"Denmark",1963,15,2,6.1,49.7,0.496506933202036,58.5
"Denmark",1964,11,1.4,3.1,49.7,0.504077919295523,58.5
"Denmark",1965,143,1.2,5.5,49.1,0.504052755741868,58.2
"Denmark",1966,9,1.4,7.1,50.9,0.502711425630841,58.1
"Denmark",1967,6,1.2,8.2,50.9,0.502330213917885,57.4
"Denmark",1968,19,1.2,8,44,0.497117138488684,58.2
"Denmark",1969,31,1.1,3.5,44,0.501571107669733,59.2
"Denmark",1970,56,0.7,6.5,44,0.496714602846187,60.3
"Denmark",1971,11,1.1,5.9,44,0.503109376344364,62.2
"Denmark",1972,11,0.9,6.6,49.7,0.496648387701716,61.5
"Denmark",1973,2001,0.9,9.3,49.7,0.497145531850401,62.2
"Denmark",1974,94,3.5,15.3,36,0.500521928337403,65.2
"Denmark",1975,52,4.9,9.6,41.7,0.501658620575909,68.9
"Denmark",1976,107,6.3,9,41.7,0.502107823214028,73
"Denmark",1977,115,7.3,11.1,48,0.497632100789342,74.1
"Denmark",1978,64,8.3,10,48,0.500757134621963,77.8
"Denmark",1979,84,6,9.6,48,0.502307666179258,77.1
"Denmark",1980,90,6.5,12.3,48.6,0.503811296445783,78.6
"Denmark",1981,319,10.3,11.7,48.6,0.497353513373528,79.9
"Denmark",1982,45,11,10.1,48,0.501430443569552,80.2
"Denmark",1983,38,11.4,6.9,48,0.501313541713171,80.8
"Denmark",1984,62,8.5,6.3,46.9,0.495949457886163,79.3
"Denmark",1985,1056,7.3,4.7,46.9,0.498765751195606,78.2
"Finland",1951,288,0.1,16.3,26.5,0.749323763272259,NA
"Finland",1952,47,0.1,1,26.5,0.748902739244513,NA
"Finland",1953,54,0.3,2,26.5,0.754984158740845,NA
"Finland",1954,96,0.1,0,27,0.752924344372004,NA
"Finland",1955,281,0.1,-2.9,27,0.749066353875678,NA
"Finland",1956,5568,0.1,11,27,0.748921172721311,NA
"Finland",1957,174,0.3,11.3,27,0.749288934527431,NA
"Finland",1958,35,0.4,6.6,27,0.748272586963139,NA
"Finland",1959,323,2.3,1.5,25.5,0.748609712824691,NA
"Finland",1960,71,1.5,3.2,25.5,0.753382304629777,31.9
"Finland",1961,30,1.2,1.8,25.5,0.745916950087994,31.5
"Finland",1962,23,1.3,4.5,20,0.748750864553731,35.3
"Finland",1963,961,1.5,4.9,20,0.7506166971731,37.4
"Finland",1964,39,1.5,10.4,20,0.749569605360739,37
"Finland",1965,11,1.4,4.8,20,0.75167243581498,38.3
"Finland",1966,80,1.5,3.9,31,0.751279191409703,39.6
"Finland",1967,211,2.9,5.6,31,0.753848856156692,40.7
"Finland",1968,186,3.8,9.2,31,0.751247469419614,41
"Finland",1969,104,2.8,2.2,31,0.745398544713389,47.5
"Finland",1970,1,1.9,2.7,26,0.751636383305304,51.3
"Finland",1971,143,2.2,6.5,26,0.753238980700262,56.2
"Finland",1972,1632,2.5,7.1,27.5,0.752290185152087,60.8
"Finland",1973,272,2.3,11,27.5,0.754820100483485,61.4
"Finland",1974,239,1.7,16.7,27.5,0.747013648289721,63.2
"Finland",1975,155,2.2,17.8,27.5,0.747613027452026,65.3
"Finland",1976,684,3.8,14.4,27,0.754347391426563,67.6
"Finland",1977,1310,5.8,12.7,27,0.748471541567706,66.4
"Finland",1978,73,7.2,7.8,27,0.749674973748624,66.9
"Finland",1979,131,5.9,7.5,26,0.752070921093691,68.1
"Finland",1980,836,4.6,11.6,26,0.750994441746734,69.4
"Finland",1981,337,5.1,12,26,0.750179282710888,68.3
"Finland",1982,105,5.8,9.6,26,0.746681412276812,68.4
"Finland",1983,361,6.1,8.4,28.5,0.751388288275339,68.8
"Finland",1984,754,4.9,7.1,28.5,0.752650825206656,69
"Finland",1985,84,4.8,5.9,28.5,0.748044181335717,69.1
"France",1951,299,0.6,17.7,49.3,0.00422739508096129,NA
"France",1952,146,0.7,12,49.3,0.00123949743108824,NA
"France",1953,807,0.9,-1.9,49.3,0.000866333534941077,NA
"France",1954,119,1.6,0.4,49.3,0.00167367290006951,NA
"France",1955,251,1.5,1,49.3,0.00328966262750328,NA
"France",1956,114,1.1,4.3,56.6,0.00445143272168934,NA
"France",1957,324,0.8,-0.8,56.6,0.00140108793275431,NA
"France",1958,88,0.9,15.3,56.6,0.0034056323999539,NA
"France",1959,151,1.3,5.7,16.6,0.000413564774207771,NA
"France",1960,82,1.2,4.2,16.6,0.00287374750245363,19.6
"France",1961,198,1.1,2.4,16.6,0.00492369134444743,20.2
"France",1962,142,1.1,5.2,16.6,0.00381850303616375,19.1
"France",1963,434,1.2,5.1,32.4,0.000426173254381866,20.1
"France",1964,176,0.9,3.2,32.4,0.000732937210705132,19.7
"France",1965,69,1.2,2.7,32.4,0.00484248891472816,19.5
"France",1966,174,1.2,2.6,32.4,0.00198398236883804,18.9
"France",1967,282,1.6,2.8,41,0.00387431229930371,19.1
"France",1968,70,2.6,4.6,19.1,0.000530379547271877,20.4
"France",1969,143,2.3,6.1,19.1,0.0049005508935079,22.2
"France",1970,109,2.4,5.9,19.1,0.00175313094398007,21.7
"France",1971,271,2.6,5.5,19.1,0.00281509260646999,21.6
"France",1972,228,2.7,6.2,19.1,0.000479129939340055,21.6
"France",1973,232,2.6,7.3,36.9,0.00385274186031893,22.1
"France",1974,197,2.8,13.7,36.9,0.00471142553025857,21.7
"France",1975,227,4.1,11.8,36.9,0.00175929600838572,22.2
"France",1976,235,4.4,9.6,36.9,0.00427844763966277,21.4
"France",1977,139,4.9,9.4,36.9,0.000244609594810754,21.4
"France",1978,118,5.2,9.1,41.7,0.00338861376279965,20.7
"France",1979,179,5.9,10.8,41.7,0.00455954141682014,19.2
"France",1980,86,6.3,13.3,41.7,0.00296907051932067,18.3
"France",1981,82,7.4,13.4,68.4,0.00232774300500751,17.8
"France",1982,127,8.1,11.8,68.4,0.00103429730050266,17
"France",1983,74,8.3,9.6,68.4,0.00487354906508699,16
"France",1984,75,9.7,7.4,68.4,0.0022075988072902,14.9
"France",1985,41,10.2,5.8,68.4,0.00441747459582984,13.6
"Germany",1951,112,6.4,7.7,36.3,0.245339291165583,NA
"Germany",1952,29,6.1,2.1,36.3,0.248981434388552,NA
"Germany",1953,95,5.5,-1.9,36.3,0.247385170864873,NA
"Germany",1954,98,5.2,0.2,31,0.246484440036584,NA
"Germany",1955,50,3.9,1.7,31,0.248426522717345,NA
"Germany",1956,89,3.1,2.6,31,0.249181564613245,NA
"Germany",1957,59,2.7,2.1,31,0.251774688353762,NA
"Germany",1958,43,2.7,2.1,34,0.246485151899979,NA
"Germany",1959,3,1.9,1,34,0.253202673867345,NA
"Germany",1960,2,0.9,1.5,34,0.254241143383551,34.7
"Germany",1961,3,0.6,2.3,34,0.254871017718688,34.2
"Germany",1962,22,0.6,2.9,38.1,0.249322118014097,33.8
"Germany",1963,88,0.7,3,38.1,0.248320404486731,33.4
"Germany",1964,1,0.6,2.4,38.1,0.251170603104401,33.1
"Germany",1965,2,0.5,3.2,38.1,0.248430655836128,32.9
"Germany",1966,1,0.6,3.6,40.7,0.247952019553632,32.5
"Germany",1967,19,1.7,1.6,40.7,0.245889931174461,32.8
"Germany",1968,1,1.2,1.6,40.7,0.254474090440199,32.2
"Germany",1969,12,0.7,1.9,40.7,0.250289669313934,31.7
"Germany",1970,4,0.6,3.4,45.2,0.247509968432132,32
"Germany",1971,203,0.7,5.2,45.2,0.2536642838642,32.1
"Germany",1972,3,0.9,5.5,45.2,0.250807516879868,32.4
"Germany",1973,25,1,7,46.4,0.247298860556912,32.4
"Germany",1974,48,2.1,7,46.4,0.249365676508751,33.7
"Germany",1975,3,4,5.9,46.4,0.248943897660356,34.6
"Germany",1976,25,4,4.3,46.4,0.253454078664072,35.1
"Germany",1977,1,3.9,3.7,43.2,0.251512556222733,35.2
"Germany",1978,197,3.7,2.7,43.2,0.246672030142508,35.5
"Germany",1979,22,3.3,4.1,43.2,0.252203574730083,35.3
"Germany",1980,6,3.3,5.4,43.2,0.252950037089176,34.9
"Germany",1981,3,4.6,6.3,43.9,0.252685230267234,35.1
"Germany",1982,1,6.7,5.3,43.9,0.245517498829868,35
"Germany",1983,2,8.2,3.3,38.8,0.254258318271022,35
"Germany",1984,260,8.2,2.4,38.8,0.250473375541624,34.9
"Germany",1985,2,8.3,2.2,38.8,0.24934859442059,34.7
"Ireland",1951,773,7.3,7.9,10.88,0.498642345857806,NA
"Ireland",1952,752,9.1,9.2,10.88,0.496153413853608,NA
"Ireland",1953,117,9.6,5,10.88,0.497581240709405,NA
"Ireland",1954,95,8.1,0,12.92,0.503071943442337,NA
"Ireland",1955,336,6.8,2.6,12.92,0.502963355367538,NA
"Ireland",1956,70,7.7,4.3,12.92,0.497211520103738,NA
"Ireland",1957,135,9.2,4.1,8.16,0.499461232060567,NA
"Ireland",1958,187,8.6,4.5,8.16,0.496750916107558,NA
"Ireland",1959,181,8,0,8.16,0.504783568896819,NA
"Ireland",1960,115,6.7,0.4,8.16,0.500198820990045,50.4
"Ireland",1961,589,5.7,2.7,11.11,0.50334253905341,52.4
"Ireland",1962,160,5.7,4.2,11.11,0.498983397004195,53.4
"Ireland",1963,354,6.1,2.5,11.11,0.497566337243188,53.1
"Ireland",1964,794,4.7,6.7,11.11,0.502462246525101,53.8
"Ireland",1965,796,4.6,5,15.27,0.499484557413962,53.6
"Ireland",1966,1129,4.7,3.1,15.27,0.503030066534411,53.7
"Ireland",1967,262,5,3.2,15.27,0.50131677291356,54.2
"Ireland",1968,574,5.3,4.7,15.27,0.498368731576484,55.1
"Ireland",1969,1304,5,7.4,12.5,0.495113609272521,57
"Ireland",1970,1405,5.8,8.2,12.5,0.499493501344696,59.1
"Ireland",1971,379,5.5,9,12.5,0.501376602589153,59.2
"Ireland",1972,284,6.2,8.7,12.5,0.497289180355147,59.5
"Ireland",1973,277,5.7,11.4,13.19,0.497579877607059,59.2
"Ireland",1974,720,5.3,17,13.19,0.496627918835729,59.9
"Ireland",1975,390,7.3,20.9,13.19,0.502536472375505,61.5
"Ireland",1976,1032,9,18,13.19,0.500669551482424,62.6
"Ireland",1977,571,8.8,13.6,11.48,0.50481169716455,63.3
"Ireland",1978,765,8.2,7.6,11.48,0.495509019198362,64
"Ireland",1979,1752,7.1,13.2,11.48,0.501325823252555,63.9
"Ireland",1980,480,7.3,18.2,11.48,0.497079996573739,63.5
"Ireland",1981,503,9.9,20.4,9.04,0.495557448065374,62.9
"Ireland",1982,504,11.4,17.1,9.04,0.498234293553978,62.4
"Ireland",1983,382,14,10.5,9.64,0.501962088553701,63.5
"Ireland",1984,472,15.6,8.6,9.64,0.500126997979824,63.3
"Ireland",1985,521,17,5.4,9.64,0.503248792667873,60.2
"Italy",1951,437,8.8,14.3,37.5,0.25137991076801,NA
"Italy",1952,337,9.5,1.9,37.5,0.248985962059814,NA
"Italy",1953,545,10,1.4,40.2,0.248273890677374,NA
"Italy",1954,493,8.7,2.4,40.2,0.246657652896829,NA
"Italy",1955,511,7.5,2.3,40.2,0.254036642299034,NA
"Italy",1956,372,9.3,3.4,40.2,0.245706935287453,NA
"Italy",1957,407,7.4,1.1,40.2,0.246572637243662,NA
"Italy",1958,363,6.4,3.2,41.4,0.252724188799039,NA
"Italy",1959,792,5.4,0,41.4,0.250755951739848,NA
"Italy",1960,483,4,2.1,41.4,0.251801326756831,24.7
"Italy",1961,803,3.4,2,41.4,0.252540387420449,24.8
"Italy",1962,1799,4.4,5,41.4,0.252278019010555,25.2
"Italy",1963,888,3.8,6.7,40.2,0.247341588723939,26.1
"Italy",1964,1256,4.2,6.3,40.2,0.24981157025788,26.6
"Italy",1965,557,5.3,4.2,40.2,0.254442218383774,25.5
"Italy",1966,1163,5.7,2.4,40.2,0.250509797038976,25.3
"Italy",1967,675,5.3,1.3,40.2,0.251725757198874,25.3
"Italy",1968,719,5.6,1.2,42.5,0.245435262937099,31.4
"Italy",1969,2875,5.6,2.6,42.5,0.249127472706605,33
"Italy",1970,1566,5.3,5,42.5,0.250621576462872,37
"Italy",1971,1098,5.3,4.9,42.5,0.252770610568114,39.7
"Italy",1972,1437,6.3,5.7,42.7,0.253554706689902,41.8
"Italy",1973,1698,6.2,10.8,42.7,0.253035781851504,43.3
"Italy",1974,1381,5.3,19.1,42.7,0.254787980159745,46.2
"Italy",1975,1918,5.8,17,42.7,0.250306462727021,48
"Italy",1976,1774,6.6,16.7,48.6,0.252913035824895,50.5
"Italy",1977,1149,7,18.5,48.6,0.254336091107689,49.8
"Italy",1978,702,7.1,12,48.6,0.25103177609155,50.4
"Italy",1979,1870,7.6,14.8,48.6,0.249546636403538,49.7
"Italy",1980,1108,7.5,21.3,48.6,0.248003380389418,49.6
"Italy",1981,705,7.8,19.5,48.6,0.249028409421444,48
"Italy",1982,1245,8.4,16.5,48.6,0.250545863271691,46.7
"Italy",1983,945,9.3,14.6,47.8,0.248830279482063,45.5
"Italy",1984,591,9.7,10.8,47.8,0.253995613767765,45.3
"Italy",1985,257,9.9,9.2,47.8,0.251067199017853,42.5
"Japan",1951,439,1.1,16.5,17.8,0.127157223259564,NA
"Japan",1952,1061,1.2,5,23.6,0.125568566690199,NA
"Japan",1953,286,1.3,6.6,29.8,0.128026851541363,NA
"Japan",1954,249,1.7,6.5,29.8,0.125775257486384,NA
"Japan",1955,215,1.8,-1,34.1,0.125551692927256,NA
"Japan",1956,262,1.7,0,34.1,0.126092814123258,NA
"Japan",1957,3,1.4,3.3,34.1,0.121648221053183,NA
"Japan",1958,306,1.4,-0.4,35.8,0.126157624085899,NA
"Japan",1959,279,1.5,1,35.8,0.124093246187549,NA
"Japan",1960,216,1.1,3.6,35.3,0.121133457515389,32.9
"Japan",1961,259,1,5.4,35.3,0.120513024816755,33.8
"Japan",1962,216,1.3,6.8,35.3,0.124863290123176,34.6
"Japan",1963,105,1.2,7.7,36.8,0.123676120727323,35
"Japan",1964,115,1.2,3.8,36.8,0.122381640367676,35.5
"Japan",1965,197,1.2,6.6,36.8,0.121545460578054,35.3
"Japan",1966,9,1.3,5.1,36.8,0.12349981138017,34.7
"Japan",1967,60,1.3,4,36,0.124786866724025,34.4
"Japan",1968,90,1.2,5.4,36,0.124742862673011,34.5
"Japan",1969,114,1.1,5.2,27.8,0.125004801435862,35.2
"Japan",1970,118,1.1,7.7,27.8,0.123205718267709,35.1
"Japan",1971,177,1.2,6.3,27.8,0.126768785153981,34.6
"Japan",1972,149,1.4,4.9,35.6,0.124902838070411,34.3
"Japan",1973,127,1.3,11.6,35.6,0.12206007406814,33.5
"Japan",1974,266,1.4,23.2,35.6,0.120537344482727,34.3
"Japan",1975,220,1.9,11.8,35.6,0.121999992348719,34.5
"Japan",1976,88,2,9.4,33.1,0.127617924141232,33.7
"Japan",1977,40,2,8.2,33.1,0.129767064682674,33
"Japan",1978,36,2.2,4.2,33.1,0.124205480464734,32.6
"Japan",1979,24,2.1,3.7,35.3,0.124944018388633,31.8
"Japan",1980,25,2,7.7,32.9,0.123649258927908,31.1
"Japan",1981,14,2.2,5,32.9,0.127646069491748,30.9
"Japan",1982,13,2.4,2.7,32.9,0.123616431974806,30.6
"Japan",1983,12,2.6,1.9,34.1,0.129631288715173,29.8
"Japan",1984,8,2.7,2.3,34.1,0.126923677863088,29.2
"Japan",1985,6,2.6,2,34.1,0.123942179409787,28.8
"Netherlands",1951,24,2.4,11.9,35,0.753865967090242,NA
"Netherlands",1952,11,3.5,0,36,0.747443192871287,NA
"Netherlands",1953,10,2.5,0,36,0.753578170812689,NA
"Netherlands",1954,20,1.8,4,36,0.752680916788522,NA
"Netherlands",1955,44,1.3,1.9,36,0.753973206088413,NA
"Netherlands",1956,68,0.9,1.9,38,0.74915894853184,NA
"Netherlands",1957,2,1.2,6.1,38,0.745981638377998,NA
"Netherlands",1958,12,2.3,2.2,35.3,0.749073665153701,NA
"Netherlands",1959,4,1.8,1.1,35.3,0.747443974739872,NA
"Netherlands",1960,142,1.1,2.3,35.3,0.753010185842868,40
"Netherlands",1961,7,0.8,1.3,35.3,0.749354582510423,39.5
"Netherlands",1962,3,0.5,2.3,35.3,0.753147274027579,38.8
"Netherlands",1963,11,0.6,3.3,34,0.749110732970294,38.8
"Netherlands",1964,12,0.5,5.8,34,0.747222905247472,37.6
"Netherlands",1965,15,0.5,5.8,34,0.749890878484584,37.4
"Netherlands",1966,3,0.8,5.8,34,0.749714526003227,38.1
"Netherlands",1967,2,1.6,3.5,30.7,0.746896962837782,38.3
"Netherlands",1968,4,1.4,3.7,30.7,0.753514315586072,37.5
"Netherlands",1969,6,1,7.4,30.7,0.747536745229736,36.5
"Netherlands",1970,66,1,3.7,30.7,0.747418023899663,36.5
"Netherlands",1971,25,1.3,7.5,31.3,0.746550998312887,36.2
"Netherlands",1972,33,2.2,7.8,31.3,0.747721395287663,36.6
"Netherlands",1973,141,2.2,8,34.7,0.748165272353217,37.1
"Netherlands",1974,2,2.7,9.6,34.7,0.749202667898498,36.9
"Netherlands",1975,0,5.2,10.2,34.7,0.748047229330987,37.8
"Netherlands",1976,3,5.5,9.1,34.7,0.747619532938115,37.1
"Netherlands",1977,57,5.3,6.5,37.3,0.751329178172164,37.2
"Netherlands",1978,1,5.3,4.1,37.3,0.747176402148325,37
"Netherlands",1979,68,5.4,4.2,37.3,0.751438009070698,36.6
"Netherlands",1980,13,6,6.5,37.3,0.751415157131851,34.8
"Netherlands",1981,5,8.6,6.8,33.3,0.75356711733155,33
"Netherlands",1982,49,11.4,5.9,33.3,0.745690810990054,32.3
"Netherlands",1983,26,13.7,2.8,35.3,0.754025952818338,30.7
"Netherlands",1984,6,14.1,3.3,35.3,0.748708490806166,29.3
"Netherlands",1985,19,12.8,2.2,35.3,0.745419437123928,28
"New.Zealand",1951,2462,0,11.1,37.5,0.376187629033811,NA
"New.Zealand",1952,58,0,7.8,37.5,0.379882107914891,NA
"New.Zealand",1953,38,0,4.8,37.5,0.376994739854708,NA
